"N° CAS";"NOM SA";"CLASSEMENT RÉFÉRENCE";"CLASSEMENT DATE";"CLASSEMENT CATÉGORIE DANGER";"CLASSEMENT CODE H";"CLASSEMENT MENTION DANGER";"FACTEUR M VALEUR";"FACTEUR M ORIGINE";"FACTEUR M DATE"
"112-05-0";"acide pelargonique";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"112-05-0";"acide pelargonique";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"86-87-3";"acide 1-naphthylacetique";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";27/01/10;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"86-87-3";"acide 1-naphthylacetique";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";27/01/10;"Lésions oculaires graves, catégorie 1";"H318";"Provoque des lésions oculaires graves";;"";
"86-87-3";"acide 1-naphthylacetique";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";27/01/10;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"86-87-3";"acide 1-naphthylacetique";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";27/01/10;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"74070-46-5";"aclonifen";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"74070-46-5";"aclonifen";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";
"74070-46-5";"aclonifen";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Sensibilisation cutanée, catégorie 1A";"H317";"Peut provoquer une allergie cutanée";;"";
"74070-46-5";"aclonifen";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";
"101007-06-1";"acrinathrine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";05/12/17;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"101007-06-1";"acrinathrine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";05/12/17;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
"101007-06-1";"acrinathrine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";05/12/17;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10000;"ANSES";21/11/16
"101007-06-1";"acrinathrine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";05/12/17;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10000;"ANSES";21/11/16
"101007-06-1";"acrinathrine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";05/12/17;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"67375-30-8";"Alpha-cypermethrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"67375-30-8";"Alpha-cypermethrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"ANSES";19/07/13
"67375-30-8";"Alpha-cypermethrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"ANSES";19/07/13
"67375-30-8";"Alpha-cypermethrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"67375-30-8";"Alpha-cypermethrine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3";"H335";"Peut irriter les voies respiratoires";;"";
"865318-97-4";"amétoctradine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";17/01/17;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";17/01/17
"120923-37-7";"amidosulfuron";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"UE";02/10/13
"120923-37-7";"amidosulfuron";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";02/10/13
"150114-71-9";"aminopyralide";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";18/02/14;"Lésions oculaires graves, catégorie 1";"H318";"Provoque des lésions oculaires graves";;"";
"150114-71-9";"aminopyralide";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";18/02/14;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";18/02/14
"150114-71-9";"aminopyralide";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";18/02/14;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";18/02/14
"348635-87-0";"amisulbrom";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"348635-87-0";"amisulbrom";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"348635-87-0";"amisulbrom";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";04/10/18
"348635-87-0";"amisulbrom";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";04/10/18
"11141-17-6";"azadirachtin";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";24/01/17;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"11141-17-6";"azadirachtin";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";24/01/17;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"ANSES";
"11141-17-6";"azadirachtin";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";24/01/17;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"11141-17-6";"azadirachtin";"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";24/01/17;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";
"120162-55-2";"azimsulfuron";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"120162-55-2";"azimsulfuron";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";;"";
"131860-33-8";"azoxystrobine";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";19/05/20
"131860-33-8";"azoxystrobine";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Toxicité aiguë (par inhalation), catégorie 3";"H331";"Toxique par inhalation";;"";
"131860-33-8";"azoxystrobine";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";19/05/20
"113614-08-7";"beflubutamid";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";21/04/15
"113614-08-7";"beflubutamid";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"ANSES";21/04/15
"71626-11-4";"benalaxyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"ANSES";21/12/12
"71626-11-4";"benalaxyl";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";21/12/12
"98243-83-5";"benalaxyl-M";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";23/04/14;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"1861-40-1";"benfluraline";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";06/07/21;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"1861-40-1";"benfluraline";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";06/07/21;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"1861-40-1";"benfluraline";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";06/07/21;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"1861-40-1";"benfluraline";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";06/07/21;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"1861-40-1";"benfluraline";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";06/07/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"ANSES";21/12/12
"1861-40-1";"benfluraline";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";06/07/21;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"1861-40-1";"benfluraline";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";06/07/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";21/12/12
"98730-04-2";"benoxacor";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"";
"98730-04-2";"benoxacor";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"98730-04-2";"benoxacor";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"";
"83055-99-6";"bensulfuron-methyle";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"83055-99-6";"bensulfuron-methyle";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"25057-89-0";"bentazone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 3";"H412";"Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"25057-89-0";"bentazone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"25057-89-0";"bentazone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"25057-89-0";"bentazone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"177406-68-7";"benthiavalicarb-isopropyl";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"177406-68-7";"benthiavalicarb-isopropyl";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"ANSES";10/03/21
"177406-68-7";"benthiavalicarb-isopropyl";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"1072957-71-1";"benzovindiflupyr";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";19/07/16
"1072957-71-1";"benzovindiflupyr";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Toxicité aiguë (par inhalation), catégorie 3";"H331";"Toxique par inhalation";;"";
"1072957-71-1";"benzovindiflupyr";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"UE";19/07/16
"1072957-71-1";"benzovindiflupyr";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"68359-37-5";"betacyflutrine";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 2";"H300";"Mortel en cas d'ingestion";;"";
"68359-37-5";"betacyflutrine";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par inhalation), catégorie 2";"H330";"Mortel par inhalation";;"";
"68359-37-5";"betacyflutrine";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000000;"ANSES";28/10/20
"68359-37-5";"betacyflutrine";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000000;"ANSES";28/10/20
"149877-41-8";"bifenazate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";18/06/13
"149877-41-8";"bifenazate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"149877-41-8";"bifenazate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";18/06/13
"149877-41-8";"bifenazate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"42576-02-3";"bifenox";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"ANSES";25/04/14
"42576-02-3";"bifenox";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";25/04/14
"581809-46-3";"bixafen";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";28/06/11;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";18/06/13
"581809-46-3";"bixafen";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";28/06/11;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"ANSES";18/06/13
"188425-85-6";"boscalid";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"28772-56-7";"bromadiolone";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Toxicité aiguë (par voie orale), catégorie 1";"H300";"Mortel en cas d'ingestion";;"";
"28772-56-7";"bromadiolone";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Toxicité pour la reproduction, catégorie 1B(D)";"H360D";"Peut nuire au foetus";;"";
"28772-56-7";"bromadiolone";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1";"H372";"Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"28772-56-7";"bromadiolone";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Toxicité aiguë (par voie cutanée), catégorie 1";"H310";"Mortel par contact cutané";;"";
"28772-56-7";"bromadiolone";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Toxicité aiguë (par inhalation), catégorie 1";"H330";"Mortel par inhalation";;"";
"28772-56-7";"bromadiolone";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"UE";19/07/16
"28772-56-7";"bromadiolone";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";19/07/16
"3861-41-4";"bromoxynil butyrate";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";12/05/12;"Sensibilisation cutanée, catégorie 1B";"H317";"Peut provoquer une allergie cutanée";;"";
"3861-41-4";"bromoxynil butyrate";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";12/05/12;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
