"Numéro CAS";"Nom SA";"Nature de l'étude";"DL50/CL50";"Valeur";"Unité";"Espèce";"Sexe"
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"Toxicité aiguë inhalation";"CL50";"> 1,66";"mg/L";"rat";"MF"
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";"MF"
"133-32-4";"acide indolyl butyrique";"Toxicité aiguë cutanée";"DL50";"> 750";"mg/kg";"rat";"MF"
"133-32-4";"acide indolyl butyrique";"Toxicité aiguë VO";"DL50";"1925";"mg/kg";"souris";"MF"
"133-32-4";"acide indolyl butyrique";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"112-05-0";"acide pelargonique";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";""
"112-05-0";"acide pelargonique";"Toxicité aiguë inhalation";"CL50";"> 1.82";"mg/L";"rat";""
"112-05-0";"acide pelargonique";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";""
"86-87-3";"acide 1-naphthylacetique";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"lapin";"MF"
"86-87-3";"acide 1-naphthylacetique";"Toxicité aiguë inhalation";"CL50";"> 0,45";"mg/L";"rat";"MF"
"86-87-3";"acide 1-naphthylacetique";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";"M"
"86-87-3";"acide 1-naphthylacetique";"Toxicité aiguë VO";"DL50";"1750";"mg/kg";"rat";"F"
"74070-46-5";"aclonifen";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";"MF"
"74070-46-5";"aclonifen";"Toxicité aiguë inhalation";"CL50";">5.06";"mg/L";"rat";"MF"
"74070-46-5";"aclonifen";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"74070-46-5";"aclonifen";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"souris";"MF"
"74070-46-5";"aclonifen";"Toxicité aiguë VO";"DL50";">4000";"mg/kg";"chien";"MF"
"101007-06-1";"acrinathrine";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"101007-06-1";"acrinathrine";"Toxicité aiguë inhalation";"CL50";"1,21";"mg/L";"rat";"MF"
"101007-06-1";"acrinathrine";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";"F"
"101007-06-1";"acrinathrine";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"67375-30-8";"Alpha-cypermethrine";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"67375-30-8";"Alpha-cypermethrine";"Toxicité aiguë inhalation";"CL50";"> 0.593";"mg/L";"rat";"MF"
"67375-30-8";"Alpha-cypermethrine";"Toxicité aiguë VO";"DL50";"71";"mg/kg";"rat";"F"
"67375-30-8";"Alpha-cypermethrine";"Toxicité aiguë VO";"DL50";"310";"mg/kg";"rat";"M"
"67375-30-8";"Alpha-cypermethrine";"Toxicité aiguë VO";"DL50";"57";"mg/kg";"rat";"M"
"67375-30-8";"Alpha-cypermethrine";"Toxicité aiguë VO";"DL50";"430";"mg/kg";"rat";"F"
"865318-97-4";"amétoctradine";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";""
"865318-97-4";"amétoctradine";"Toxicité aiguë inhalation";"CL50";">5,5";"mg/L";"";""
"865318-97-4";"amétoctradine";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";""
"120923-37-7";"amidosulfuron";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";"MF"
"120923-37-7";"amidosulfuron";"Toxicité aiguë inhalation";"CL50";">1.8";"mg/L";"rat";"MF"
"120923-37-7";"amidosulfuron";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"120923-37-7";"amidosulfuron";"Toxicité aiguë VO";"DL50";"1000 - 2000";"mg/kg";"rat";""
"150114-71-9";"aminopyralide";"Toxicité aiguë cutanée";"DL50";"> 5000";"mg/kg";"rat";"MF"
"150114-71-9";"aminopyralide";"Toxicité aiguë inhalation";"CL50";"> 5.5";"mg/L";"rat";"MF"
"150114-71-9";"aminopyralide";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"348635-87-0";"amisulbrom";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";""
"348635-87-0";"amisulbrom";"Toxicité aiguë inhalation";"CL50";">2,85";"mg/L";"rat";""
"348635-87-0";"amisulbrom";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";""
"11141-17-6";"azadirachtin";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";""
"11141-17-6";"azadirachtin";"Toxicité aiguë inhalation";"CL50";"> 0,72";"mg/L";"rat";""
"11141-17-6";"azadirachtin";"Toxicité aiguë inhalation";"CL50";"> 2,45";"mg/L";"rat";""
"11141-17-6";"azadirachtin";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"souris";""
"11141-17-6";"azadirachtin";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";""
"120162-55-2";"azimsulfuron";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"120162-55-2";"azimsulfuron";"Toxicité aiguë inhalation";"CL50";">5.94";"mg/L";"rat";"MF"
"120162-55-2";"azimsulfuron";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"120162-55-2";"azimsulfuron";"Toxicité aiguë VO";"DL50";"7161";"mg/kg";"souris";""
"131860-33-8";"azoxystrobine";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"131860-33-8";"azoxystrobine";"Toxicité aiguë inhalation";"CL50";"> 4,7";"mg/L";"rat";"MF"
"131860-33-8";"azoxystrobine";"Toxicité aiguë inhalation";"CL50";"0,698";"mg/L";"rat";"F"
"131860-33-8";"azoxystrobine";"Toxicité aiguë inhalation";"CL50";"0,962";"mg/L";"rat";"M"
"131860-33-8";"azoxystrobine";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"131860-33-8";"azoxystrobine";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"souris";"MF"
"113614-08-7";"beflubutamid";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";""
"113614-08-7";"beflubutamid";"Toxicité aiguë inhalation";"CL50";"> 5";"mg/L";"rat";""
"113614-08-7";"beflubutamid";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";""
"71626-11-4";"benalaxyl";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"71626-11-4";"benalaxyl";"Toxicité aiguë inhalation";"CL50";">4.2";"mg/L";"rat";"MF"
"71626-11-4";"benalaxyl";"Toxicité aiguë VO";"DL50";"4200";"mg/kg";"rat";"MF"
"98243-83-5";"benalaxyl-M";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"98243-83-5";"benalaxyl-M";"Toxicité aiguë inhalation";"CL50";"> 4,204";"mg/L";"rat";""
"98243-83-5";"benalaxyl-M";"Toxicité aiguë VO";"DL50";"> 2000";"mg/kg";"rat";"MF"
"1861-40-1";"benfluraline";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"lapin";"MF"
"1861-40-1";"benfluraline";"Toxicité aiguë inhalation";"CL50";"> 2,16";"mg/L";"rat";"MF"
"1861-40-1";"benfluraline";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"98730-04-2";"benoxacor";"Toxicité aiguë cutanée";"DL50";">2010";"mg/kg";"lapin";"MF"
"98730-04-2";"benoxacor";"Toxicité aiguë inhalation";"CL50";">2.0";"mg/L";"rat";"MF"
"98730-04-2";"benoxacor";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"83055-99-6";"bensulfuron-methyle";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"83055-99-6";"bensulfuron-methyle";"Toxicité aiguë inhalation";"CL50";">5";"mg/L";"rat";"MF"
"83055-99-6";"bensulfuron-methyle";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"25057-89-0";"bentazone";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";"MF"
"25057-89-0";"bentazone";"Toxicité aiguë inhalation";"CL50";">5.1";"mg/L";"rat";"MF"
"25057-89-0";"bentazone";"Toxicité aiguë VO";"DL50";"1400 - 1800";"mg/kg";"rat";"MF"
"177406-68-7";"benthiavalicarb-isopropyl";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";""
"177406-68-7";"benthiavalicarb-isopropyl";"Toxicité aiguë inhalation";"CL50";"> 4,6";"mg/L";"rat";""
"177406-68-7";"benthiavalicarb-isopropyl";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";""
"1072957-71-1";"benzovindiflupyr";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";""
"1072957-71-1";"benzovindiflupyr";"Toxicité aiguë inhalation";"CL50";"0,56";"mg/L";"rat";""
"1072957-71-1";"benzovindiflupyr";"Toxicité aiguë VO";"DL50";"55";"mg/kg";"rat";"MF"
"68359-37-5";"betacyflutrine";"Toxicité aiguë cutanée";"DL50";"> 5000";"mg/kg";"rat";""
"68359-37-5";"betacyflutrine";"Toxicité aiguë inhalation";"CL50";"0,70";"mg/L";"rat";""
"68359-37-5";"betacyflutrine";"Toxicité aiguë inhalation";"CL50";"0,081";"mg/L";"rat";"MF"
"68359-37-5";"betacyflutrine";"Toxicité aiguë VO";"DL50";"14,3";"mg/kg";"rat";""
"68359-37-5";"betacyflutrine";"Toxicité aiguë VO";"DL50";"77";"mg/kg";"rat";""
"149877-41-8";"bifenazate";"Toxicité aiguë cutanée";"DL50";">5000";"mg/kg";"rat";""
"149877-41-8";"bifenazate";"Toxicité aiguë inhalation";"CL50";">4.4";"mg/L";"rat";""
"149877-41-8";"bifenazate";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";""
"42576-02-3";"bifenox";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";""
"42576-02-3";"bifenox";"Toxicité aiguë inhalation";"CL50";"> 0.91";"mg/L";"rat";""
"42576-02-3";"bifenox";"Toxicité aiguë VO";"DL50";"1780";"mg/kg";"souris";"F"
"42576-02-3";"bifenox";"Toxicité aiguë VO";"DL50";"1540";"mg/kg";"souris";"M"
"42576-02-3";"bifenox";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";""
"581809-46-3";"bixafen";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"581809-46-3";"bixafen";"Toxicité aiguë inhalation";"CL50";">5.383";"mg/L";"rat";"MF"
"581809-46-3";"bixafen";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"F"
"188425-85-6";"boscalid";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";""
"188425-85-6";"boscalid";"Toxicité aiguë inhalation";"CL50";">6.7";"mg/L";"rat";""
"188425-85-6";"boscalid";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";""
"28772-56-7";"bromadiolone";"Toxicité aiguë cutanée";"DL50";"20,62";"mg/kg";"rat";"M"
"28772-56-7";"bromadiolone";"Toxicité aiguë cutanée";"DL50";"32,08";"mg/kg";"rat";"F"
"28772-56-7";"bromadiolone";"Toxicité aiguë inhalation";"CL50";"0,00033";"mg/L";"rat";"F"
"28772-56-7";"bromadiolone";"Toxicité aiguë inhalation";"CL50";"0,00046";"mg/L";"rat";"M"
"28772-56-7";"bromadiolone";"Toxicité aiguë VO";"DL50";"0,56 - 0,84";"mg/kg";"rat";""
"3861-41-4";"bromoxynil butyrate";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"3861-41-4";"bromoxynil butyrate";"Toxicité aiguë inhalation";"CL50";"1,216";"mg/L";"rat";"MF"
"3861-41-4";"bromoxynil butyrate";"Toxicité aiguë VO";"DL50";"116";"mg/kg";"rat";"MF"
"56634-95-8";"bromoxynil heptanoate";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";""
"56634-95-8";"bromoxynil heptanoate";"Toxicité aiguë inhalation";"CL50";"1,98";"mg/L";"rat";""
"56634-95-8";"bromoxynil heptanoate";"Toxicité aiguë inhalation";"CL50";"1.48";"mg/L";"rat";"F"
"56634-95-8";"bromoxynil heptanoate";"Toxicité aiguë VO";"DL50";"362";"mg/kg";"rat";"M"
"56634-95-8";"bromoxynil heptanoate";"Toxicité aiguë VO";"DL50";"292";"mg/kg";"rat";"F"
"1689-99-2";"bromoxynil octanoate";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"1689-99-2";"bromoxynil octanoate";"Toxicité aiguë inhalation";"CL50";"0,72";"mg/L";"rat";"F"
"1689-99-2";"bromoxynil octanoate";"Toxicité aiguë inhalation";"CL50";"0,81";"mg/L";"rat";"M"
"1689-99-2";"bromoxynil octanoate";"Toxicité aiguë VO";"DL50";"141";"mg/kg";"rat";"F"
"1689-84-5";"bromoxynil phenol";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"1689-84-5";"bromoxynil phenol";"Toxicité aiguë inhalation";"CL50";"0,27";"mg/L";"rat";"M"
"1689-84-5";"bromoxynil phenol";"Toxicité aiguë inhalation";"CL50";"0.15";"mg/L";"rat";"F"
"1689-84-5";"bromoxynil phenol";"Toxicité aiguë VO";"DL50";"130";"mg/kg";"rat";"MF"
"116255-48-2";"bromuconazole";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"116255-48-2";"bromuconazole";"Toxicité aiguë inhalation";"CL50";">5.05";"mg/L";"rat";"MF"
"116255-48-2";"bromuconazole";"Toxicité aiguë VO";"DL50";"985";"mg/kg";"souris";"F"
"116255-48-2";"bromuconazole";"Toxicité aiguë VO";"DL50";"403";"mg/kg";"rat";"M"
"116255-48-2";"bromuconazole";"Toxicité aiguë VO";"DL50";"1151";"mg/kg";"souris";"M"
"116255-48-2";"bromuconazole";"Toxicité aiguë VO";"DL50";"328";"mg/kg";"rat";"F"
"41483-43-6";"bupirimate";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"F"
"41483-43-6";"bupirimate";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"lapin";"MF"
"41483-43-6";"bupirimate";"Toxicité aiguë inhalation";"CL50";"> 1,34";"mg/L";"rat";"MF"
"41483-43-6";"bupirimate";"Toxicité aiguë VO";"DL50";">4000";"mg/kg";"souris";"F"
"41483-43-6";"bupirimate";"Toxicité aiguë VO";"DL50";"2000 - 4000";"mg/kg";"lapin";"F"
"41483-43-6";"bupirimate";"Toxicité aiguë VO";"DL50";"4000";"mg/kg";"cobaye";"M"
"41483-43-6";"bupirimate";"Toxicité aiguë VO";"DL50";"4000";"mg/kg";"rat";"F"
"133-06-2";"captane";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";""
"133-06-2";"captane";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"133-06-2";"captane";"Toxicité aiguë inhalation";"CL50";"0.67";"mg/L";"rat";""
"133-06-2";"captane";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"souris";""
"133-06-2";"captane";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"rat";""
"16118-49-3";"carbetamide";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";""
"16118-49-3";"carbetamide";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"rat";"MF"
"16118-49-3";"carbetamide";"Toxicité aiguë VO";"DL50";"1718";"mg/kg";"souris";"MF"
"5234-68-4";"carboxine";"Toxicité aiguë cutanée";"DL50";"> 4000";"mg/kg";"lapin";"MF"
"5234-68-4";"carboxine";"Toxicité aiguë inhalation";"CL50";"> 4,7";"mg/L";"rat";"MF"
"5234-68-4";"carboxine";"Toxicité aiguë VO";"DL50";"3080";"mg/kg";"rat";"F"
"5234-68-4";"carboxine";"Toxicité aiguë VO";"DL50";"2588";"mg/kg";"rat";"M"
"128639-02-1";"carfentrazone ethyle";"Toxicité aiguë cutanée";"DL50";">4000";"mg/kg";"rat";"MF"
"128639-02-1";"carfentrazone ethyle";"Toxicité aiguë inhalation";"CL50";">5.09";"mg/L";"rat";"MF"
"128639-02-1";"carfentrazone ethyle";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"F"
"500008-45-7";"chlorantraniliprole";"Toxicité aiguë cutanée";"DL50";"> 5000";"mg/kg";"rat";"MF"
"500008-45-7";"chlorantraniliprole";"Toxicité aiguë inhalation";"CL50";"> 5,1";"mg/L";"rat";"MF"
"500008-45-7";"chlorantraniliprole";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"F"
"1698-60-8";"chloridazone";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"1698-60-8";"chloridazone";"Toxicité aiguë inhalation";"CL50";"> 5.4";"mg/L";"rat";"MF"
"1698-60-8";"chloridazone";"Toxicité aiguë VO";"DL50";"2140";"mg/kg";"rat";"F"
"1698-60-8";"chloridazone";"Toxicité aiguë VO";"DL50";"> 3830";"mg/kg";"rat";"M"
"999-81-5";"chlormequat chloride";"Toxicité aiguë cutanée";"DL50";"964";"mg/kg";"lapin";"MF"
"999-81-5";"chlormequat chloride";"Toxicité aiguë cutanée";"DL50";">4000";"mg/kg";"rat";"MF"
"999-81-5";"chlormequat chloride";"Toxicité aiguë cutanée";"DL50";"232";"mg/kg";"lapin";""
"999-81-5";"chlormequat chloride";"Toxicité aiguë inhalation";"CL50";">5.2";"mg/L";"rat";""
"999-81-5";"chlormequat chloride";"Toxicité aiguë VO";"DL50";"<50";"mg/kg";"chien";""
"999-81-5";"chlormequat chloride";"Toxicité aiguë VO";"DL50";"544";"mg/kg";"souris";""
"999-81-5";"chlormequat chloride";"Toxicité aiguë VO";"DL50";"883";"mg/kg";"rat";"MF"
"999-81-5";"chlormequat chloride";"Toxicité aiguë VO";"DL50";"589";"mg/kg";"souris";"MF"
"999-81-5";"chlormequat chloride";"Toxicité aiguë VO";"DL50";"115";"mg/kg";"lapin";""
"999-81-5";"chlormequat chloride";"Toxicité aiguë VO";"DL50";"520";"mg/kg";"rat";""
"2921-88-2";"chlorpyriphos-ethyl";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"2921-88-2";"chlorpyriphos-ethyl";"Toxicité aiguë inhalation";"CL50";"> 0,23";"mg/L";"rat";"MF"
"2921-88-2";"chlorpyriphos-ethyl";"Toxicité aiguë VO";"DL50";"141";"mg/kg";"rat";"F"
"2921-88-2";"chlorpyriphos-ethyl";"Toxicité aiguë VO";"DL50";"100";"mg/kg";"rat";"MF"
"2921-88-2";"chlorpyriphos-ethyl";"Toxicité aiguë VO";"DL50";"64";"mg/kg";"souris";"F"
"2921-88-2";"chlorpyriphos-ethyl";"Toxicité aiguë VO";"DL50";"71";"mg/kg";"souris";"M"
"2921-88-2";"chlorpyriphos-ethyl";"Toxicité aiguë VO";"DL50";"264";"mg/kg";"rat";"M"
"2921-88-2";"chlorpyriphos-ethyl";"Toxicité aiguë VO";"DL50";"223";"mg/kg";"rat";"MF"
"5598-13-0";"chlorpyriphos-methyl";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"5598-13-0";"chlorpyriphos-methyl";"Toxicité aiguë inhalation";"CL50";"> 0.67";"mg/L";"rat";"MF"
"5598-13-0";"chlorpyriphos-methyl";"Toxicité aiguë VO";"DL50";"2680";"mg/kg";"rat";"M"
"5598-13-0";"chlorpyriphos-methyl";"Toxicité aiguë VO";"DL50";"3223";"mg/kg";"souris";"M"
"5598-13-0";"chlorpyriphos-methyl";"Toxicité aiguë VO";"DL50";"2500";"mg/kg";"rat";"F"
"5598-13-0";"chlorpyriphos-methyl";"Toxicité aiguë VO";"DL50";"2546";"mg/kg";"souris";"F"
"5598-13-0";"chlorpyriphos-methyl";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"5598-13-0";"chlorpyriphos-methyl";"Toxicité aiguë VO";"DL50";"3069";"mg/kg";"rat";"F"
"64902-72-3";"chlorsulfuron";"Toxicité aiguë cutanée";"DL50";">3400";"mg/kg";"lapin";"M"
"64902-72-3";"chlorsulfuron";"Toxicité aiguë inhalation";"CL50";">5.9";"mg/L";"rat";"MF"
"64902-72-3";"chlorsulfuron";"Toxicité aiguë VO";"DL50";"5545";"mg/kg";"rat";"M"
"64902-72-3";"chlorsulfuron";"Toxicité aiguë VO";"DL50";"6293";"mg/kg";"rat";"F"
"64902-72-3";"chlorsulfuron";"Toxicité aiguë VO";"DL50";"1363";"mg/kg";"cobaye";"M"
"15545-48-9";"chlortoluron";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";""
"15545-48-9";"chlortoluron";"Toxicité aiguë inhalation";"CL50";">5.3";"mg/L";"rat";""
"15545-48-9";"chlortoluron";"Toxicité aiguë VO";"DL50";">10000";"mg/kg";"rat";""
"143807-66-3";"chromafénozide";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"rat";"MF"
"143807-66-3";"chromafénozide";"Toxicité aiguë cutanée";"DL50";"> 2000";"mg/kg";"lapin";"MF"
"143807-66-3";"chromafénozide";"Toxicité aiguë inhalation";"CL50";"> 4,68";"mg/L";"rat";"MF"
"143807-66-3";"chromafénozide";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"souris";"MF"
"143807-66-3";"chromafénozide";"Toxicité aiguë VO";"DL50";"> 5000";"mg/kg";"rat";"MF"
"99129-21-2";"clethodim";"Toxicité aiguë cutanée";"DL50";"> 4167";"mg/kg";"lapin";"MF"
"99129-21-2";"clethodim";"Toxicité aiguë inhalation";"CL50";"> 3.25";"mg/L";"rat";"MF"
"99129-21-2";"clethodim";"Toxicité aiguë VO";"DL50";"1358";"mg/kg";"rat";"M"
"99129-21-2";"clethodim";"Toxicité aiguë VO";"DL50";"1133";"mg/kg";"rat";"F"
"105512-06-9";"clodinafop-propargyl";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";""
"105512-06-9";"clodinafop-propargyl";"Toxicité aiguë inhalation";"CL50";">2.3";"mg/L";"rat";""
"105512-06-9";"clodinafop-propargyl";"Toxicité aiguë VO";"DL50";"1392";"mg/kg";"rat";"M"
"105512-06-9";"clodinafop-propargyl";"Toxicité aiguë VO";"DL50";"2271";"mg/kg";"rat";"F"
"74115-24-5";"clofentezine";"Toxicité aiguë cutanée";"DL50";">2100";"mg/kg";"rat";"MF"
"74115-24-5";"clofentezine";"Toxicité aiguë VO";"DL50";">5200";"mg/kg";"souris";"MF"
"74115-24-5";"clofentezine";"Toxicité aiguë VO";"DL50";">3200";"mg/kg";"hamster";"MF"
"74115-24-5";"clofentezine";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"chien";"MF"
"74115-24-5";"clofentezine";"Toxicité aiguë VO";"DL50";">1500";"mg/kg";"cobaye";"F"
"74115-24-5";"clofentezine";"Toxicité aiguë VO";"DL50";">5200";"mg/kg";"rat";"MF"
"81777-89-1";"clomazone";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"81777-89-1";"clomazone";"Toxicité aiguë inhalation";"CL50";"4.85";"mg/L";"rat";"MF"
"81777-89-1";"clomazone";"Toxicité aiguë VO";"DL50";"767.5";"mg/kg";"rat";"F"
"81777-89-1";"clomazone";"Toxicité aiguë VO";"DL50";"2077";"mg/kg";"rat";"M"
"81777-89-1";"clomazone";"Toxicité aiguë VO";"DL50";"1216";"mg/kg";"rat";"F"
"1702-17-6";"clopyralid";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"lapin";"MF"
"1702-17-6";"clopyralid";"Toxicité aiguë inhalation";"CL50";">1,0";"mg/L";"rat";"MF"
"1702-17-6";"clopyralid";"Toxicité aiguë VO";"DL50";">5000";"mg/kg";"rat";"MF"
"99607-70-2";"cloquintocet-mexyl";"Toxicité aiguë cutanée";"DL50";">2000";"mg/kg";"rat";"MF"
"99607-70-2";"cloquintocet-mexyl";"Toxicité aiguë inhalation";"CL50";">0.935";"mg/L";"rat";"MF"
"99607-70-2";"cloquintocet-mexyl";"Toxicité aiguë VO";"DL50";">2000";"mg/kg";"rat";"MF"
