"Numéro CAS";"Nom SA";"Propriété";"Valeur";"Unité";"Température";"PH";"Observation"
"120923-37-7";"amidosulfuron";"Solubilité dans l'eau";"9,2";"mg/L";20;"4";""
"120923-37-7";"amidosulfuron";"Solubilité dans l'eau";"7,1";"g/L";20;"9";""
"120923-37-7";"amidosulfuron";"Solubilité dans l'eau";"3.07";"mg/L";20;"7";""
"150114-71-9";"aminopyralide";"Constante de Henry";"9.61x10^-12";"Pa.m3/mol";;"7";""
"150114-71-9";"aminopyralide";"Log P";"-1,76";"";19;"5";""
"150114-71-9";"aminopyralide";"Log P";"-2,87";"";19;"7";""
"150114-71-9";"aminopyralide";"Log P";"-2,96";"";19;"9";""
"150114-71-9";"aminopyralide";"pka";"+2,56";"";;"";""
"150114-71-9";"aminopyralide";"Pression de vapeur";"2.59x10^-8";"Pa";25;"";""
"150114-71-9";"aminopyralide";"Solubilité dans l'eau";"205";"g/L";20;"7";""
"150114-71-9";"aminopyralide";"Solubilité dans l'eau";"212";"g/L";20;"5";""
"150114-71-9";"aminopyralide";"Solubilité dans l'eau";"203";"g/L";20;"9";""
"348635-87-0";"amisulbrom";"Constante de Henry";"2,8 10-5";"Pa.m3/mol";;"";""
"348635-87-0";"amisulbrom";"Log P";"+4,4";"";40;"6,4";""
"348635-87-0";"amisulbrom";"pka";"";"";;"";""
"348635-87-0";"amisulbrom";"Pression de vapeur";"1,8 10-8";"Pa";25;"";""
"348635-87-0";"amisulbrom";"Solubilité dans l'eau";"0,11";"mg/L";20;"6,9";""
"11141-17-6";"azadirachtin";"Constante de Henry";"10-14 à- 10^-19";"Pa.m3/mol";;"";""
"11141-17-6";"azadirachtin";"Log P";"0,99";"";20;"";""
"11141-17-6";"azadirachtin";"pka";"";"";;"";""
"11141-17-6";"azadirachtin";"Pression de vapeur";"1,9 10-20";"Pa";25;"";""
"11141-17-6";"azadirachtin";"Pression de vapeur";"3.6 10-13";"Pa";20;"";""
"11141-17-6";"azadirachtin";"Solubilité dans l'eau";"2.9";"g/L";;"4 à 9";""
"120162-55-2";"azimsulfuron";"Constante de Henry";"5x10^-10";"Pa.m3/mol";;"7";""
"120162-55-2";"azimsulfuron";"Constante de Henry";"8x10^-9";"Pa.m3/mol";;"5";""
"120162-55-2";"azimsulfuron";"Constante de Henry";"9x10^-11";"Pa.m3/mol";;"9";""
"120162-55-2";"azimsulfuron";"Log P";"-2,1";"";25;"9";""
"120162-55-2";"azimsulfuron";"Log P";"-1,4";"";25;"7";""
"120162-55-2";"azimsulfuron";"Log P";"0,6";"";25;"5";""
"120162-55-2";"azimsulfuron";"pka";"3,6";"";;"";""
"120162-55-2";"azimsulfuron";"Pression de vapeur";"4x10^-9";"Pa";25;"";""
"120162-55-2";"azimsulfuron";"Solubilité dans l'eau";"1050";"mg/L";20;"7";""
"120162-55-2";"azimsulfuron";"Solubilité dans l'eau";"6536";"mg/L";20;"9";""
"120162-55-2";"azimsulfuron";"Solubilité dans l'eau";"72,3";"mg/L";20;"5";""
"131860-33-8";"azoxystrobine";"Constante de Henry";"7,4 x 10^-9";"Pa.m3/mol";;"";""
"131860-33-8";"azoxystrobine";"Log P";"2,5";"";20;"";""
"131860-33-8";"azoxystrobine";"pka";"<0";"";;"";""
"131860-33-8";"azoxystrobine";"Pression de vapeur";"1,1 x 10^-10";"Pa";20;"";""
"131860-33-8";"azoxystrobine";"Solubilité dans l'eau";"5,9";"mg/L";20;"9,2";""
"131860-33-8";"azoxystrobine";"Solubilité dans l'eau";"6,7";"mg/L";20;"5,2 à 7";""
"113614-08-7";"beflubutamid";"Constante de Henry";"1.1 E-4";"Pa.m3/mol";;"";""
"113614-08-7";"beflubutamid";"Log P";"4,28";"";21;"";""
"113614-08-7";"beflubutamid";"pka";"";"";;"";""
"113614-08-7";"beflubutamid";"Pression de vapeur";"11";"µPa";25;"";""
"113614-08-7";"beflubutamid";"Solubilité dans l'eau";"2.30";"mg/L";10;"";""
"113614-08-7";"beflubutamid";"Solubilité dans l'eau";"3.29";"mg/L";20;"";""
"113614-08-7";"beflubutamid";"Solubilité dans l'eau";"5.03";"mg/L";30;"";""
"71626-11-4";"benalaxyl";"Constante de Henry";"6.5x10^-3";"Pa.m3/mol";20;"";""
"71626-11-4";"benalaxyl";"Log P";"3,54";"";20;"6,1";""
"71626-11-4";"benalaxyl";"pka";"";"";;"";""
"71626-11-4";"benalaxyl";"Pression de vapeur";"0.664";"mPa";25;"";""
"71626-11-4";"benalaxyl";"Pression de vapeur";"0.572";"mPa";20;"";""
"71626-11-4";"benalaxyl";"Solubilité dans l'eau";"28.6";"mg/L";20;"";""
"98243-83-5";"benalaxyl-M";"Constante de Henry";"2,33 10-4";"Pa.m3/mol";20;"";""
"98243-83-5";"benalaxyl-M";"Log P";"3,61";"";20;"9";""
"98243-83-5";"benalaxyl-M";"Log P";"3,66";"";20;"4";""
"98243-83-5";"benalaxyl-M";"Log P";"3,68";"";20;"7";""
"98243-83-5";"benalaxyl-M";"pka";"";"";;"";""
"98243-83-5";"benalaxyl-M";"Pression de vapeur";"23,6";"µPa";20;"";""
"98243-83-5";"benalaxyl-M";"Pression de vapeur";"59,5";"µPa";25;"";""
"98243-83-5";"benalaxyl-M";"Solubilité dans l'eau";"33,07";"mg/L";20;"4";""
"98243-83-5";"benalaxyl-M";"Solubilité dans l'eau";"37,05";"mg/L";20;"9";""
"98243-83-5";"benalaxyl-M";"Solubilité dans l'eau";"33";"mg/L";20;"7";""
"1861-40-1";"benfluraline";"Constante de Henry";"9,5";"Pa.m3/mol";20;"";""
"1861-40-1";"benfluraline";"Log P";"5,27";"";20;"7,5";""
"1861-40-1";"benfluraline";"pka";"-0,59";"";;"";""
"1861-40-1";"benfluraline";"Pression de vapeur";"4,3x10-3";"Pa";25;"";""
"1861-40-1";"benfluraline";"Pression de vapeur";"1,8x10-3";"Pa";20;"";""
"1861-40-1";"benfluraline";"Solubilité dans l'eau";"0,0648";"mg/L";20;"6 à 7";""
"98730-04-2";"benoxacor";"Constante de Henry";"7.7 e-3";"Pa.m3/mol";20;"";""
"98730-04-2";"benoxacor";"Log P";"2,7";"";;"";""
"98730-04-2";"benoxacor";"Pression de vapeur";"0.59";"mPa";20;"";""
"98730-04-2";"benoxacor";"Pression de vapeur";"2.5";"mPa";30;"";""
"98730-04-2";"benoxacor";"Solubilité dans l'eau";"20";"mg/L";20;"";""
"83055-99-6";"bensulfuron-methyle";"Constante de Henry";"4*10^-13";"Pa.m3/mol";25;"9";""
"83055-99-6";"bensulfuron-methyle";"Constante de Henry";"2*10^-11";"Pa.m3/mol";25;"7";""
"83055-99-6";"bensulfuron-methyle";"Constante de Henry";"6*10^-10";"Pa.m3/mol";25;"5";""
"83055-99-6";"bensulfuron-methyle";"Log P";"-0,99";"";25;"9";""
"83055-99-6";"bensulfuron-methyle";"Log P";"0,79";"";25;"7";""
"83055-99-6";"bensulfuron-methyle";"Log P";"2,18";"";25;"5";""
"83055-99-6";"bensulfuron-methyle";"pka";"5,2";"";20;"";""
"83055-99-6";"bensulfuron-methyle";"Pression de vapeur";"2.1*10^-14";"Pa";25;"";""
"83055-99-6";"bensulfuron-methyle";"Solubilité dans l'eau";"2.1";"mg/L";25;"5";""
"83055-99-6";"bensulfuron-methyle";"Solubilité dans l'eau";"67";"mg/L";25;"7";""
"83055-99-6";"bensulfuron-methyle";"Solubilité dans l'eau";"3100";"mg/L";25;"9";""
"25057-89-0";"bentazone";"Constante de Henry";"7.2x10^-5";"Pa.m3/mol";20;"";""
"25057-89-0";"bentazone";"Constante de Henry";"2.108x10^-6";"Pa.m3/mol";20;"";""
"25057-89-0";"bentazone";"Log P";"-0,94";"";20;"7";""
"25057-89-0";"bentazone";"Log P";"-1,32";"";20;"9";""
"25057-89-0";"bentazone";"Log P";"1,54";"";20;"4";""
"25057-89-0";"bentazone";"pka";"2,5";"";20;"";""
"25057-89-0";"bentazone";"pka";"3,51";"";;"";""
"25057-89-0";"bentazone";"Pression de vapeur";"4,9x10^-4";"Pa";20;"";""
"25057-89-0";"bentazone";"Pression de vapeur";"1,7x10^-4";"Pa";20;"";""
"25057-89-0";"bentazone";"Solubilité dans l'eau";"5627";"mg/L";20;"9";""
"25057-89-0";"bentazone";"Solubilité dans l'eau";"1837";"mg/L";20;"4";""
"25057-89-0";"bentazone";"Solubilité dans l'eau";"7112";"mg/L";20;"7";""
"177406-68-7";"benthiavalicarb-isopropyl";"Constante de Henry";"<8.72 e-3";"Pa.m3/mol";20;"";""
"177406-68-7";"benthiavalicarb-isopropyl";"Log P";"2,56";"";20;"6";""
"177406-68-7";"benthiavalicarb-isopropyl";"Log P";"2,63";"";20;"5";""
"177406-68-7";"benthiavalicarb-isopropyl";"Log P";"2,62";"";20;"9";""
"177406-68-7";"benthiavalicarb-isopropyl";"pka";"";"";;"";""
"177406-68-7";"benthiavalicarb-isopropyl";"Pression de vapeur";"<3 e-4";"Pa";25;"";""
"177406-68-7";"benthiavalicarb-isopropyl";"Solubilité dans l'eau";"13.14";"mg/L";20;"6,3";""
"177406-68-7";"benthiavalicarb-isopropyl";"Solubilité dans l'eau";"12.76";"mg/L";20;"9";""
"177406-68-7";"benthiavalicarb-isopropyl";"Solubilité dans l'eau";"10.96";"mg/L";20;"5";""
"1072957-71-1";"benzovindiflupyr";"Constante de Henry";"1,3x10^-6";"Pa.m3/mol";;"";""
"1072957-71-1";"benzovindiflupyr";"Log P";"4,3";"";25;"";""
"1072957-71-1";"benzovindiflupyr";"pka";"";"";;"";""
"1072957-71-1";"benzovindiflupyr";"Pression de vapeur";"3,2x10^-9";"Pa";25;"";""
"1072957-71-1";"benzovindiflupyr";"Solubilité dans l'eau";"0,98";"mg/L";25;"";""
"68359-37-5";"betacyflutrine";"Constante de Henry";"9,3x10^-2";"Pa.m3/mol";20;"";"isomer II"
"68359-37-5";"betacyflutrine";"Constante de Henry";"0,6";"Pa.m3/mol";20;"";"isomer IV"
"68359-37-5";"betacyflutrine";"Log P";"5,9";"";25;"5,6";"ISOMERE II"
"68359-37-5";"betacyflutrine";"Log P";"5,8";"";25;"5,6";"ISOMERE IV"
"68359-37-5";"betacyflutrine";"pka";"";"";;"";""
"68359-37-5";"betacyflutrine";"Pression de vapeur";"4,5x10^-7";"Pa";20;"";"isomer  II"
"68359-37-5";"betacyflutrine";"Pression de vapeur";"2,2x10^-6";"Pa";20;"";"isomer IV"
"68359-37-5";"betacyflutrine";"Solubilité dans l'eau";"2.1";"ug/L";20;"6,4";"ISOMERE II"
"68359-37-5";"betacyflutrine";"Solubilité dans l'eau";"1.6";"ug/L";20;"6,4";"ISOMERE IV"
"149877-41-8";"bifenazate";"Constante de Henry";"<1.01 e-3";"Pa.m3/mol";20;"";""
"149877-41-8";"bifenazate";"Log P";"3,4";"";40;"";""
"149877-41-8";"bifenazate";"pka";"12,94";"";;"";""
"149877-41-8";"bifenazate";"Pression de vapeur";"<13.3";"µPa";25;"";""
"149877-41-8";"bifenazate";"Solubilité dans l'eau";"2.07";"mg/L";20;"5";""
"149877-41-8";"bifenazate";"Solubilité dans l'eau";"2.06";"mg/L";20;"7";""
"42576-02-3";"bifenox";"Constante de Henry";"> 1.62x10^-4";"Pa.m3/mol";20;"";""
"42576-02-3";"bifenox";"Log P";"3,64";"";22;"";""
"42576-02-3";"bifenox";"Pression de vapeur";"47.4";"nPa";20;"";""
"42576-02-3";"bifenox";"Solubilité dans l'eau";"< 0.1";"mg/L";20;"4 à 9";""
"581809-46-3";"bixafen";"Constante de Henry";"3,89 x 10^-5";"Pa.m3/mol";;"";""
"581809-46-3";"bixafen";"Log P";"3,3";"";40;"5 à 9";""
"581809-46-3";"bixafen";"pka";"";"";;"";""
"581809-46-3";"bixafen";"Pression de vapeur";"4,6 x 10^-8";"Pa";20;"";""
"581809-46-3";"bixafen";"Solubilité dans l'eau";"0.49";"mg/L";20;"5 à 9";""
"188425-85-6";"boscalid";"Constante de Henry";"5.18 e-5";"Pa.m3/mol";;"";""
"188425-85-6";"boscalid";"Log P";"2,96";"";21;"7,1";""
"188425-85-6";"boscalid";"pka";"";"";;"";""
"188425-85-6";"boscalid";"Pression de vapeur";"0.72";"µPa";20;"";""
"188425-85-6";"boscalid";"Solubilité dans l'eau";"4.64";"mg/L";;"";""
"28772-56-7";"bromadiolone";"Constante de Henry";"8.99x10^-7";"Pa.m3/mol";;"";""
"28772-56-7";"bromadiolone";"Log P";"3,16";"";20;"10";""
"28772-56-7";"bromadiolone";"Log P";"4,07";"";20;"7";""
"28772-56-7";"bromadiolone";"Log P";">5";"";20;"4";""
"28772-56-7";"bromadiolone";"Pression de vapeur";"21.3";"nPa";25;"";""
"28772-56-7";"bromadiolone";"Solubilité dans l'eau";"1230";"mg/L";20;"";""
"28772-56-7";"bromadiolone";"Solubilité dans l'eau";"18.4";"mg/L";20;"";""
"28772-56-7";"bromadiolone";"Solubilité dans l'eau";"99.4";"ug/L";20;"4";""
"3861-41-4";"bromoxynil butyrate";"Constante de Henry";"0,018";"Pa.m3/mol";20;"";""
"3861-41-4";"bromoxynil butyrate";"Log P";"3,86";"";;"";""
"3861-41-4";"bromoxynil butyrate";"pka";"";"";;"";""
"3861-41-4";"bromoxynil butyrate";"Pression de vapeur";"0,28";"mPa";20;"";""
"3861-41-4";"bromoxynil butyrate";"Pression de vapeur";"34";"mPa";50;"";""
"3861-41-4";"bromoxynil butyrate";"Pression de vapeur";"67";"mPa";25;"";""
"3861-41-4";"bromoxynil butyrate";"Solubilité dans l'eau";"5,4";"mg/L";20;"6";""
"56634-95-8";"bromoxynil heptanoate";"Constante de Henry";"0,19";"Pa.m3/mol";20;"";""
"56634-95-8";"bromoxynil heptanoate";"Log P";"5,7";"";25;"7";""
"56634-95-8";"bromoxynil heptanoate";"pka";"";"";;"";""
"56634-95-8";"bromoxynil heptanoate";"Pression de vapeur";"6,7x10^-3";"Pa";50;"";""
"56634-95-8";"bromoxynil heptanoate";"Pression de vapeur";"7,8x10^-5";"Pa";20;"";""
"56634-95-8";"bromoxynil heptanoate";"Pression de vapeur";"1,7x10^-4";"Pa";25;"";""
"56634-95-8";"bromoxynil heptanoate";"Solubilité dans l'eau";"0.08";"mg/L";25;"7";""
"56634-95-8";"bromoxynil heptanoate";"Solubilité dans l'eau";"0.15";"mg/L";25;"9";""
"56634-95-8";"bromoxynil heptanoate";"Solubilité dans l'eau";"0.16";"mg/L";25;"5";""
"1689-99-2";"bromoxynil octanoate";"Constante de Henry";">1,9x10^-1";"Pa.m3/mol";20;"";""
"1689-99-2";"bromoxynil octanoate";"Log P";"6,2";"";25;"7";""
"1689-99-2";"bromoxynil octanoate";"pka";"";"";;"";""
"1689-99-2";"bromoxynil octanoate";"Pression de vapeur";"2,4x10^-3";"Pa";50;"";""
"1689-99-2";"bromoxynil octanoate";"Pression de vapeur";"5,6x10^-5";"Pa";25;"";""
"1689-99-2";"bromoxynil octanoate";"Pression de vapeur";"2,4x10^-5";"Pa";20;"";""
"1689-99-2";"bromoxynil octanoate";"Solubilité dans l'eau";"0.022";"mg/L";20;"";""
"1689-84-5";"bromoxynil phenol";"Constante de Henry";"1,0x10^-6";"Pa.m3/mol";;"9";""
"1689-84-5";"bromoxynil phenol";"Constante de Henry";"4,6x10^-4";"Pa.m3/mol";;"4";""
"1689-84-5";"bromoxynil phenol";"Constante de Henry";"8,7x10^-7";"Pa.m3/mol";;"7";""
"1689-84-5";"bromoxynil phenol";"Log P";"-0,45";"";22;"9";""
"1689-84-5";"bromoxynil phenol";"Log P";"0,27";"";22;"7";""
"1689-84-5";"bromoxynil phenol";"Log P";"2,7";"";22;"4";""
"1689-84-5";"bromoxynil phenol";"pka";"3,86";"";;"";""
"1689-84-5";"bromoxynil phenol";"Pression de vapeur";"2,0x10^-4";"Pa";25;"";""
"1689-84-5";"bromoxynil phenol";"Pression de vapeur";"1,7x10^-4";"Pa";20;"";""
"1689-84-5";"bromoxynil phenol";"Pression de vapeur";"4,2x10^-4";"Pa";45;"";""
"1689-84-5";"bromoxynil phenol";"Solubilité dans l'eau";"38";"g/L";20;"7";""
"1689-84-5";"bromoxynil phenol";"Solubilité dans l'eau";"33";"g/L";20;"9";""
"1689-84-5";"bromoxynil phenol";"Solubilité dans l'eau";"73";"mg/L";20;"4";""
"116255-48-2";"bromuconazole";"Constante de Henry";"8.8 e-6";"Pa.m3/mol";20;"";""
"116255-48-2";"bromuconazole";"Log P";"3,24";"";20;"";""
"116255-48-2";"bromuconazole";"Pression de vapeur";"4.04";"µPa";25;"";""
"41483-43-6";"bupirimate";"Constante de Henry";"1,35";"Pa.m3/mol";20;"";""
"41483-43-6";"bupirimate";"Log P";"3,93";"";20;"9";""
"41483-43-6";"bupirimate";"Log P";"3,68";"";21;"7";""
