"Numéro CAS";"Nom SA";"Source";"Date";"Nom";"valeur";"Unite";"Etude(s) pivot(s) 1";"NOAEL de l'étude pivot 1";"Unité NOAEL étude pivot 1";"Etude(s) pivot(s) 2";"Facteur de sécurité";"F.correction (abs. orale lim.)"
"77-06-05";"acide gibbérellique";"UE";01/09/09;"AOEL";"0,68";"mg/kg/j";"90 jours, voie orale, rat";"680";"mg/kg/p.c./j";"";1000;"non nécessaire"
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"UE";01/09/09;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"UE";01/09/09;"AOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";"acide gras en C7-C18";"UE";01/09/09;"DJA";"non pertinent";"";"";"";"";"";;"non nécessaire"
"133-32-4";"acide indolyl butyrique";"UE";01/06/11;"AOEL";"0,025";"mg/kg/j";"Tératogenèse, voie orale, lapin";"25";"mg/kg/p.c./j";"";1000;"non nécessaire"
"133-32-4";"acide indolyl butyrique";"UE";01/06/11;"DJA";"non fixée par manque de données";"";"";"";"";"";;"non nécessaire"
"133-32-4";"acide indolyl butyrique";"UE";01/06/11;"ARFD";"non fixée par manque de données";"";"";"";"";"";;"non nécessaire"
"112-05-0";"acide pelargonique";"UE";01/09/09;"DJA";"non pertinent";"";"";"";"";"";;"non nécessaire"
"112-05-0";"acide pelargonique";"UE";01/09/09;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"112-05-0";"acide pelargonique";"UE";01/09/09;"AOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"86-87-3";"acide 1-naphthylacetique";"UE";01/01/12;"ARFD";"0,1";"mg/kg pc";"Tératogenèse, voie orale, rat";"15";"mg/kg/p.c./j";" 1 an, voie orale, chien ; 90 jours, voie orale, rat";150;"non nécessaire"
"86-87-3";"acide 1-naphthylacetique";"UE";01/01/12;"DJA";"0,1";"mg/kg/j";"Tératogenèse, voie orale, rat";"15";"mg/kg/p.c./j";" 1 an, voie orale, chien ; 90 jours, voie orale, rat";150;"non nécessaire"
"86-87-3";"acide 1-naphthylacetique";"UE";01/01/12;"AOEL";"0,07";"mg/kg/j";"Tératogenèse, voie orale, rat";"15";"mg/kg/p.c./j";" 1 an, voie orale, chien ; 90 jours, voie orale, rat";150;"70%"
"74070-46-5";"aclonifen";"UE";15/12/08;"DJA";"0,07";"mg/kg/j";"2 ans, voie orale, rat";"7";"mg/kg/p.c./j";"multugénérations, voie orale, rat ; 18 mois, voie orale, souris";100;"non nécessaire"
"74070-46-5";"aclonifen";"UE";15/12/08;"AOEL";"0,07";"mg/kg/j";"2 ans, voie orale, rat";"7";"mg/kg p.c./j";"multugénérations, voie orale, rat ; études subchroniques, rat";100;"non nécessaire"
"74070-46-5";"aclonifen";"UE";15/12/08;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"101007-06-1";"acrinathrine";"UE";01/01/12;"AOEL";"0,007";"mg/kg/j";"Neurotoxicité, voie orale, rat, aigue";"1";"mg/kg p.c./j";"";100;"71%"
"101007-06-1";"acrinathrine";"UE";01/01/12;"DJA";"0,01";"mg/kg/j";"Neurotoxicité, voie orale, rat, aigue";"1";"mg/kg p.c./j";"";100;"non nécessaire"
"101007-06-1";"acrinathrine";"UE";01/01/12;"ARFD";"0,01";"mg/kg pc";"Neurotoxicité, voie orale, rat, aigue";"1";"mg/kg p.c./j";"";100;"non nécessaire"
"67375-30-8";"Alpha-cypermethrine";"UE";01/11/19;"AAOEL";"0,0005";"mg/kg pc";"Neurotoxicité du développement, rat";"0,25";"mg/kg/p.c./j";"";200;"40%"
"67375-30-8";"Alpha-cypermethrine";"UE";01/11/19;"ARFD";"0,00125";"mg/kg pc";"Neurotoxicité du développement, rat";"0,25";"mg/kg p.c./j";"";200;"non nécessaire"
"67375-30-8";"Alpha-cypermethrine";"UE";01/11/19;"AOEL";"0,0005";"mg/kg/j";"Neurotoxicité du développement, rat";"0,25";"mg/kg p.c./j";"";200;"40%"
"67375-30-8";"Alpha-cypermethrine";"UE";01/11/19;"DJA";"0,00125";"mg/kg/j";"Neurotoxicité du développement, rat";"0,25";"mg/kg p.c./j";"";200;"non nécessaire"
"865318-97-4";"amétoctradine";"UE";01/08/13;"AOEL";"2";"mg/kg/j";"Autre(s) étude(s)";"1000";"mg/kg/p.c./j";"Etudes à court et à long terme";100;"20%"
"865318-97-4";"amétoctradine";"UE";01/08/13;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"865318-97-4";"amétoctradine";"UE";01/08/13;"DJA";"10";"mg/kg/j";"Autre(s) étude(s)";"1000";"mg/kg/p.c./j";"Etudes à court et à long terme";100;"non nécessaire"
"120923-37-7";"amidosulfuron";"UE";01/01/09;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"120923-37-7";"amidosulfuron";"UE";01/01/09;"DJA";"0,2";"mg/kg/j";"Reproduction sur deux générations, rat";"22,5";"mg/kg p.c./j";"";100;"non nécessaire"
"120923-37-7";"amidosulfuron";"UE";01/01/09;"AOEL";"1,4";"mg/kg/j";"90 jours et 1 an, voie orale, chien";"144";"mg/kg p.c./j";"";100;"non nécessaire"
"150114-71-9";"aminopyralide";"UE";01/01/15;"DJA";"0,26";"mg/kg/j";"Tératogenèse, voie orale, lapin";"26";"mg/kg p.c./j";"";100;"non nécessaire"
"150114-71-9";"aminopyralide";"UE";01/01/15;"ARFD";"0,26";"mg/kg pc";"Tératogenèse, voie orale, lapin";"26";"mg/kg p.c./j";"";100;"non nécessaire"
"150114-71-9";"aminopyralide";"UE";01/01/15;"AOEL";"0,26";"mg/kg/j";"Tératogenèse, voie orale, lapin";"26";"mg/kg p.c./j";"";100;"non nécessaire"
"348635-87-0";"amisulbrom";"UE";01/07/14;"DJA";"0,1";"mg/kg/j";"2 ans et 18 mois, voie orale, rat et souris";"11,1";"mg/kg/p.c./j";"";100;"non nécessaire"
"348635-87-0";"amisulbrom";"UE";01/07/14;"AOEL";"0,15";"mg/kg/j";"Tératogenèse, voie orale, lapin";"300";"mg/kg/p.c./j";"";100;"50%"
"348635-87-0";"amisulbrom";"UE";01/07/14;"ARFD";"0,3";"mg/kg pc";"Tératogenèse, voie orale, lapin";"300";"mg/kg/p.c./j";"";100;"non nécessaire"
"11141-17-6";"azadirachtin";"UE";01/06/11;"DJA";"0,1";"mg/kg/j";"90 jours, voie orale, rat";"32";"mg/kg p.c./j";"";300;"non nécessaire"
"11141-17-6";"azadirachtin";"UE";01/06/11;"ARFD";"0,75";"mg/kg pc";"Tératogenèse, voie orale, rat";"225";"mg/kg p.c./j";"";300;"non nécessaire"
"11141-17-6";"azadirachtin";"UE";01/06/11;"AOEL";"0,1";"mg/kg/j";"90 jours, voie orale, rat";"32";"mg/kg p.c./j";"";300;"non nécessaire"
"120162-55-2";"azimsulfuron";"UE";20/08/10;"AOEL";"0,1";"mg/kg/j";"Etude multigénérations,voie orale, rat";"9,6";"mg/kg p.c./j";"90 j et 1 an, voie orale, chien";100;"non nécessaire"
"120162-55-2";"azimsulfuron";"UE";20/08/10;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"120162-55-2";"azimsulfuron";"UE";20/08/10;"DJA";"0,1";"mg/kg/j";"Etude multigénérations,voie orale, rat";"9,6";"mg/kg p.c./j";"";100;"non nécessaire"
"131860-33-8";"azoxystrobine";"UE";20/08/10;"DJA";"0,2";"mg/kg/j";"2 ans, voie orale, rat";"18";"mg/kg p.c./j";"";100;"non nécessaire"
"131860-33-8";"azoxystrobine";"UE";20/08/10;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"131860-33-8";"azoxystrobine";"UE";20/08/10;"AOEL";"0,2";"mg/kg/j";"90 jours, voie orale, rat";"21";"mg/kg p.c./j";"étude court-terme, voie orale, chien";100;"non nécessaire"
"113614-08-7";"beflubutamid";"UE";19/04/07;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"113614-08-7";"beflubutamid";"UE";19/04/07;"AOEL";"0,3";"mg/kg/j";"90 jours, voie orale, rat";"30";"mg/kg p.c./j";"";100;"non nécessaire"
"113614-08-7";"beflubutamid";"UE";19/04/07;"DJA";"0,02";"mg/kg/j";"2 ans, voie orale, rat";"2,2";"mg/kg p.c./j";"";100;"non nécessaire"
"71626-11-4";"benalaxyl";"UE";13/02/04;"DJA";"0,04";"mg/kg/j";"2 ans, voie orale, rat";"4,4";"mg/kg p.c./j";"";100;"non nécessaire"
"71626-11-4";"benalaxyl";"UE";28/12/20;"AOEL";"0,05";"mg/kg/j";"Autre(s) étude(s)";"5";"mg/kg/p.c./j";"Rat 2 générations, développement lapin";100;"non nécessaire"
"71626-11-4";"benalaxyl";"UE";28/12/20;"AAOEL";"0,5";"mg/kg/j";"Neurotoxicité, voie orale, rat, aigue";"50";"mg/kg/p.c./j";"";100;"non nécessaire"
"71626-11-4";"benalaxyl";"UE";28/12/20;"ARFD";"0,5";"mg/kg pc";"Neurotoxicité, voie orale, rat, aigue";"50";"mg/kg/p.c./j";"";100;"non nécessaire"
"98243-83-5";"benalaxyl-M";"UE";20/11/13;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"98243-83-5";"benalaxyl-M";"UE";20/11/13;"DJA";"0,04";"mg/kg/j";"2 ans, voie orale, rat";"4,42";"mg/kg/p.c./j";"Etude menée sur le Banalaxyl";100;"non nécessaire"
"98243-83-5";"benalaxyl-M";"UE";20/11/13;"AOEL";"0,06";"mg/kg/j";"90 jours, voie orale, rat";"6,2";"mg/kg/p.c./j";"";100;"non nécessaire"
"1861-40-1";"benfluraline";"UE";01/03/09;"AOEL";"0,05";"mg/kg/j";"90 jours, voie orale, rat";"17";"mg/kg/p.c./j";"";100;"30%"
"1861-40-1";"benfluraline";"UE";01/03/09;"DJA";"0,005";"mg/kg/j";"2 ans, voie orale, rat";"0,5";"mg/kg/p.c./j";"";100;"non nécessaire"
"1861-40-1";"benfluraline";"UE";01/03/09;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"98730-04-2";"benoxacor";"CMT";12/01/05;"AOEL";"0,05";"mg/kg/j";"1 an, voie orale, chien";"5";"mg/kg p.c./j";"2 générations, voie orale, rat";100;"non nécessaire"
"98730-04-2";"benoxacor";"CMT";26/06/96;"DJA";"0,004";"mg/kg/j";"2 ans, voie orale, rat";"0,4";"mg/kg p.c./j";"";100;"non nécessaire"
"83055-99-6";"bensulfuron-methyle";"UE";02/12/08;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"83055-99-6";"bensulfuron-methyle";"UE";02/12/08;"AOEL";"0,12";"mg/kg/j";"1 an, voie orale, chien";"19,9";"mg/kg p.c./j";"";100;"60%"
"83055-99-6";"bensulfuron-methyle";"UE";02/12/08;"DJA";"0,2";"mg/kg/j";"1 an, voie orale, chien";"19,9";"mg/kg p.c./j";"";100;"non nécessaire"
"25057-89-0";"bentazone";"UE";01/06/18;"ARFD";"1";"mg/kg pc";"Tératogenèse, voie orale, rat";"100";"mg/kg p.c./j";"";100;"non nécessaire"
"25057-89-0";"bentazone";"UE";01/06/18;"AOEL";"0,13";"mg/kg/j";"1 an, voie orale, chien";"13";"mg/kg p.c./j";"";100;"non nécessaire"
"25057-89-0";"bentazone";"UE";01/06/18;"DJA";"0,09";"mg/kg/j";"2 ans, voie orale, rat";"9";"mg/kg p.c./j";"";100;"non nécessaire"
"177406-68-7";"benthiavalicarb-isopropyl";"UE";01/08/08;"DJA";"0,1";"mg/kg/j";"2 ans, voie orale, rat";"9,9";"mg/kg p.c./j";"";100;"non nécessaire"
"177406-68-7";"benthiavalicarb-isopropyl";"UE";01/08/08;"AOEL";"0,1";"mg/kg/j";"Tératogenèse, voie orale, rat";"10";"mg/kg/p.c./j";"";100;"non nécessaire"
"177406-68-7";"benthiavalicarb-isopropyl";"UE";01/08/08;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"1072957-71-1";"benzovindiflupyr";"UE";02/03/16;"AOEL";"0,04";"mg/kg/j";"Etude multigénérations,voie orale, rat";"6,7";"mg/kg/p.c./j";"90 jours, voie orale, rat";100;"60%"
"1072957-71-1";"benzovindiflupyr";"UE";02/03/16;"DJA";"0,05";"mg/kg/j";"2 ans, voie orale, rat";"4,9";"mg/kg/p.c./j";"";100;"non nécessaire"
"1072957-71-1";"benzovindiflupyr";"UE";02/03/16;"ARFD";"0,1";"mg/kg pc";"Neurotoxicité, voie orale, rat, aigue";"10";"mg/kg/p.c./j";"";100;"non nécessaire"
"68359-37-5";"betacyflutrine";"UE";19/05/20;"DJA";"0,01";"mg/kg/j";"28 jours, voie orale, rat";"1";"mg/kg p.c./j";"";100;"non nécessaire"
"68359-37-5";"betacyflutrine";"UE";19/05/20;"ARFD";"0,01";"mg/kg pc";"28 jours, voie orale, rat";"1";"mg/kg p.c./j";"";100;"non nécessaire"
"68359-37-5";"betacyflutrine";"UE";19/05/20;"AAOEL";"0,01";"mg/kg pc";"28 jours, voie orale, rat";"1";"mg/kg/p.c./j";"";100;"non nécessaire"
"68359-37-5";"betacyflutrine";"UE";19/05/20;"AOEL";"0,000243";"mg/kg/j";"Autre(s) étude(s)";"0,02";"mg/kg p.c./j";"13 semaines, inhalation, rat";100;"non nécessaire"
"149877-41-8";"bifenazate";"UE";03/06/05;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"149877-41-8";"bifenazate";"UE";03/06/05;"AOEL";"0,0028";"mg/kg/j";"2 ans, voie orale, rat";"1";"mg/kg p.c./j";"90 jours et 1 an, voie orale, chien";100;"28%"
"149877-41-8";"bifenazate";"UE";03/06/05;"DJA";"0,01";"mg/kg/j";"2 ans, voie orale, rat";"1";"mg/kg p.c./j";"90 jours et 1 an, voie orale, chien";100;"non nécessaire"
"42576-02-3";"bifenox";"UE";30/06/08;"DJA";"0,3";"mg/kg/j";"2 ans, voie orale, souris";"30";"mg/kg p.c./j";"";100;"non nécessaire"
"42576-02-3";"bifenox";"UE";30/06/08;"ARFD";"0,5";"mg/kg pc";"Tératogenèse, voie orale, lapin";"50";"mg/kg p.c./j";"";100;"non nécessaire"
"42576-02-3";"bifenox";"UE";30/06/08;"AOEL";"0,125";"mg/kg/j";"Tératogenèse, voie orale, lapin";"50";"mg/kg p.c./j";"reproduction sur 2 génération, rat";100;"25%"
"581809-46-3";"bixafen";"UE";01/10/13;"DJA";"0,02";"mg/kg/j";"2 ans, voie orale, rat";"2";"mg/kg/p.c./j";"";100;"non nécessaire"
"581809-46-3";"bixafen";"UE";01/10/13;"ARFD";"0,2";"mg/kg pc";"Tératogenèse, voie orale, rat";"20";"mg/kg/p.c./j";"";100;"non nécessaire"
"581809-46-3";"bixafen";"UE";01/10/13;"AOEL";"0,13";"mg/kg/j";"90 jours, voie orale, rat";"12,9";"mg/kg/p.c./j";"";100;"non nécessaire"
"188425-85-6";"boscalid";"UE";01/08/08;"DJA";"0,04";"mg/kg/j";"2 ans, voie orale, rat";"4,4";"mg/kg p.c./j";"";100;"non nécessaire"
"188425-85-6";"boscalid";"UE";01/08/08;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"188425-85-6";"boscalid";"UE";01/08/08;"AOEL";"0,1";"mg/kg/j";"1 an, voie orale, chien";"22";"mg/kg p.c./j";"";100;"44%"
"28772-56-7";"bromadiolone";"UE";01/06/11;"AAOEL";"0,0000023";"mg/kg pc";"Tératogenèse, voie orale, lapin";"0,002";"mg/kg/p.c./j";"";600;"70%"
"28772-56-7";"bromadiolone";"UE";01/06/11;"AOEL";"0,0000012";"mg/kg/j";"Autre(s) étude(s)";"0,0005";"mg/kg p.c./j";"étude de 90 jours, voie orale, lapin";300;"70%"
"28772-56-7";"bromadiolone";"UE";01/06/11;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"28772-56-7";"bromadiolone";"UE";01/06/11;"DJA";"non pertinent";"";"";"";"";"";;"non nécessaire"
"3861-41-4";"bromoxynil butyrate";"UE";17/07/20;"AAOEL";"0,013";"mg/kg pc";"Tératogenèse, voie orale, rat";"4";"mg/kg/p.c./j";"Facteur de 3 ajouté en raison de la sévérité des effets développementaux";300;"non nécessaire"
"3861-41-4";"bromoxynil butyrate";"UE";17/07/20;"AOEL";"0,003";"mg/kg/j";"1 an, voie orale, chien";"0,3";"mg/kg/p.c./j";"";100;"non nécessaire"
"3861-41-4";"bromoxynil butyrate";"UE";17/07/20;"DJA";"0,003";"mg/kg/j";"1 an, voie orale, chien";"0,3";"mg/kg/p.c./j";"";100;"non nécessaire"
"3861-41-4";"bromoxynil butyrate";"UE";17/07/20;"ARFD";"0,013";"mg/kg pc";"Tératogenèse, voie orale, rat";"4";"mg/kg/p.c./j";"Facteur de 3 ajouté en raison de la sévérité des effets développementaux";300;"non nécessaire"
"56634-95-8";"bromoxynil heptanoate";"UE";17/07/20;"ARFD";"0,013";"mg/kg pc";"Tératogenèse, voie orale, rat";"4";"mg/kg p.c./j";"Facteur supplémentaire de 3 proposé en raison de la sévérité des effets développementaux";300;"non nécessaire"
"56634-95-8";"bromoxynil heptanoate";"UE";17/07/20;"AAOEL";"0,013";"mg/kg pc";"Tératogenèse, voie orale, rat";"4";"mg/kg/p.c./j";"Facteur supplémentaire de 3 proposé en raison de la sévérité des effets développementaux";300;"non nécessaire"
"56634-95-8";"bromoxynil heptanoate";"UE";17/07/20;"AOEL";"0,003";"mg/kg/j";"1 an, voie orale, chien";"0,3";"mg/kg p.c./j";"";100;"non nécessaire"
"56634-95-8";"bromoxynil heptanoate";"UE";17/07/20;"DJA";"0,003";"mg/kg/j";"1 an, voie orale, chien";"0,3";"mg/kg p.c./j";"";100;"non nécessaire"
"1689-99-2";"bromoxynil octanoate";"UE";17/07/20;"ARFD";"0,013";"mg/kg pc";"Tératogenèse, voie orale, rat";"4";"mg/kg p.c./j";"Facteur supplémentaire de 3 proposé en raison de la sévérité des effets développementaux";300;"non nécessaire"
"1689-99-2";"bromoxynil octanoate";"UE";17/07/20;"AAOEL";"0,013";"mg/kg pc";"";"4";"mg/kg/p.c./j";"Facteur supplémentaire de 3 proposé en raison des effets développementaux";300;"non nécessaire"
"1689-99-2";"bromoxynil octanoate";"UE";17/07/20;"DJA";"0,003";"mg/kg/j";"1 an, voie orale, chien";"0,3";"mg/kg p.c./j";"";100;"non nécessaire"
"1689-99-2";"bromoxynil octanoate";"UE";17/07/20;"AOEL";"0,003";"mg/kg/j";"1 an, voie orale, chien";"0,3";"mg/kg p.c./j";"";100;"non nécessaire"
"1689-84-5";"bromoxynil phenol";"UE";17/07/20;"ARFD";"0,013";"mg/kg pc";"Tératogenèse, voie orale, rat";"4";"mg/kg p.c./j";"Facteur supplémentaire de 3 proposé en raison de la sévérité des effets développementaux";300;"non nécessaire"
"1689-84-5";"bromoxynil phenol";"UE";17/07/20;"DJA";"0,003";"mg/kg/j";"1 an, voie orale, chien";"0,3";"mg/kg p.c./j";"";100;"non nécessaire"
"1689-84-5";"bromoxynil phenol";"UE";17/07/20;"AOEL";"0,003";"mg/kg/j";"1 an, voie orale, chien";"0,3";"mg/kg p.c./j";"";100;"non nécessaire"
"1689-84-5";"bromoxynil phenol";"UE";17/07/20;"AAOEL";"0,013";"mg/kg/j";"Tératogenèse, voie orale, rat";"4";"mg/kg/p.c./j";"Facteur supplémentaire de 3 proposé en raison de la sévérité des effets dévelopementaux";300;"non nécessaire"
"116255-48-2";"bromuconazole";"UE";01/02/11;"AOEL";"0,025";"mg/kg/j";"90 jours, voie orale, rat";"2,5";"mg/kg p.c./j";"1 an, voie orale, chien";100;"non nécessaire"
"116255-48-2";"bromuconazole";"UE";01/02/11;"ARFD";"0,1";"mg/kg pc";"Tératogenèse, voie orale, rat";"10";"mg/kg p.c./j";"";100;"non nécessaire"
"116255-48-2";"bromuconazole";"UE";01/02/11;"DJA";"0,01";"mg/kg/j";"2 ans, voie orale, rat";"0,88-1,09";"mg/kg p.c./j";"";100;"non nécessaire"
"41483-43-6";"bupirimate";"UE";01/06/11;"DJA";"0,05";"mg/kg/j";"2 ans, voie orale, chien";"5";"mg/kg p.c./j";"";100;"non nécessaire"
"41483-43-6";"bupirimate";"UE";01/06/11;"AOEL";"0,05";"mg/kg/j";"2 ans, voie orale, chien";"5";"mg/kg p.c./j";"";100;"non nécessaire"
"41483-43-6";"bupirimate";"UE";01/06/11;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"133-06-2";"captane";"UE";11/07/08;"ARFD";"0,3";"mg/kg pc";"Tératogenèse, voie orale, lapin";"30";"mg/kg p.c./j";"";100;"non nécessaire"
"133-06-2";"captane";"UE";29/09/06;"DJA";"0,1";"mg/kg/j";"Tératogenèse, voie orale, lapin";"10";"mg/kg p.c./j";"";100;"non nécessaire"
"133-06-2";"captane";"UE";29/09/06;"AOEL";"0,1";"mg/kg/j";"Tératogenèse, voie orale, lapin";"10";"mg/kg p.c./j";"";100;"non nécessaire"
"16118-49-3";"carbetamide";"UE";01/06/11;"AOEL";"0,12";"mg/kg/j";"90 jours, voie orale, rat";"12,5";"mg/kg p.c./j";"";100;"non nécessaire"
"16118-49-3";"carbetamide";"UE";01/06/11;"ARFD";"0,3";"mg/kg pc";"90 jours et 1 an, voie orale, chien";"30";"mg/kg/p.c./j";"";100;"non nécessaire"
"16118-49-3";"carbetamide";"UE";01/06/11;"DJA";"0,06";"mg/kg/j";"2 ans, voie orale, rat";"6";"mg/kg p.c./j";"";100;"non nécessaire"
"5234-68-4";"carboxine";"UE";01/06/11;"DJA";"0,008";"mg/kg/j";"2 ans, voie orale, rat";"0,82";"mg/kg/p.c./j";"";100;"non nécessaire"
"5234-68-4";"carboxine";"UE";01/06/11;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"5234-68-4";"carboxine";"UE";01/06/11;"AOEL";"0,055";"mg/kg/j";"90 jours, voie orale, rat";"5,5";"mg/kg p.c./j";"";100;"non nécessaire"
"128639-02-1";"carfentrazone ethyle";"UE";01/08/18;"DJA";"0,03";"mg/kg/j";"2 ans, voie orale, rat";"3";"mg/kg p.c./j";"";100;"non nécessaire"
"128639-02-1";"carfentrazone ethyle";"UE";01/08/18;"AOEL";"0,4";"mg/kg/j";"90 jours, voie orale, rat";"58";"mg/kg p.c./j";"";100;"72%"
"128639-02-1";"carfentrazone ethyle";"UE";01/08/18;"AAOEL";"non pertinent";"";"";"";"";"";;"non nécessaire"
"128639-02-1";"carfentrazone ethyle";"UE";01/08/18;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"500008-45-7";"chlorantraniliprole";"UE";01/05/14;"DJA";"1,56";"mg/kg/j";"2 ans, voie orale, rat";"156";"mg/kg p.c./j";"";100;"non nécessaire"
"500008-45-7";"chlorantraniliprole";"UE";01/05/14;"AOEL";"0,36";"mg/kg/j";"1 an, voie orale, chien";"278";"mg/kg/p.c./j";"";100;"13%"
"500008-45-7";"chlorantraniliprole";"UE";01/05/14;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"1698-60-8";"chloridazone";"UE";01/01/09;"ARFD";"non pertinent";"";"";"";"";"";;"non nécessaire"
"1698-60-8";"chloridazone";"UE";01/01/09;"DJA";"0,1";"mg/kg/j";"2 ans, voie orale, rat";"13";"mg/kg p.c./j";"";100;"non nécessaire"
"1698-60-8";"chloridazone";"UE";01/01/09;"AOEL";"0,2";"mg/kg/j";"90 jours, voie orale, rat";"21";"mg/kg p.c./j";"Reproduction sur deux générations et 2 ans, voie orale, rat";100;"non nécessaire"
