(produit) type produit;(produit) numero AMM;(produit) nom produit;(produit) seconds noms commerciaux;(produit) titulaire;(produit) type commercial;(produit) gamme usage;(produit) mentions autorisees;(produit) restrictions usage;(produit) restrictions usage libelle;(produit) Substances actives;(produit) fonctions;(produit) formulations;(produit) Etat d’autorisation;(produit) Date de retrait du produit;(produit) Date de première autorisation;(produit) Numéro AMM du produit de référence;(produit) Nom du produit de référence;
PPP;9600287;EXPERT AGREVO;;BAYER SAS;Deuxième gamme;;Emploi autorisé dans les jardins;;;propamocarbe HCl (Propamocarb) 722.0 g/L;Fongicide;Suspension aqueuse;RETIRE;16/06/2015;01/06/1996;9500434;PREVICUR N JARDIN;
PPP;9300302;FERTINEX;;Evergreen Garden Care France SAS;Produit de référence;;Emploi autorisé dans les jardins;;;myclobutanil (Myclobutanil) 7.5 g/L;Fongicide;Emulsion de type aqueux;RETIRE;29/06/2015;01/04/1995;;;
PPP;8500295;SPICA 66;;BAYER SAS;Produit de référence;;;;;2,4-D sel d'amine (2,4-D) 240.0 g/L | piclorame sel d'amine (Picloram) 65.0 g/L;;Liquide;RETIRE;16/06/2015;01/12/1985;;;
PPP;7500401;DIPTYL;GREEN TURF 6;AGRIPHAR SA;Produit de référence;;;;;dicamba sel de diméthylamine (Dicamba) 18.0 g/L | mécoprop sel de diméthylamine (Mecoprop) 250.0 g/L | MCPA sel de diméthylamine (MCPA) 250.0 g/L;Herbicide;Liquide;RETIRE;16/06/2015;01/12/1977;;;
PPP;2050050;SOLTERNET ALLEES LIQUIDE;;BAYER SAS;Produit de revente;;Emploi autorisé dans les jardins;;;diflufénicanil (Diflufenican) 40.0 g/L | glyphosate sel d'isopropylamine (Glyphosate) 250.0 g/L;Herbicide;Suspension concentrée;RETIRE;16/06/2015;21/04/2005;9600550;PISTOL EV;
PPP;8000156;TECTO 20 S;;SYNGENTA FRANCE SAS;Produit de référence;;;;;thiabendazole (Thiabendazole) 220.0 g/L;Fongicide;Liquide;RETIRE;30/06/2015;01/12/1980;;;
PPP;9000526;MERTECT-20-S;;SYNGENTA FRANCE SAS;Produit de référence;;;;;thiabendazole (Thiabendazole) 220.0 g/L;Fongicide;Liquide;RETIRE;30/06/2015;01/06/1991;;;
PPP;2030172;DEFI JARDIN;;SYNGENTA FRANCE SAS;Deuxième gamme;;Emploi autorisé dans les jardins;;;prosulfocarbe (Prosulfocarb) 800.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;30/06/2015;04/04/2003;8700462;DEFI;
PPP;9600529;AURORA;;FMC CHEMICAL SPRL;Produit de référence;Professionnel;;;;carfentrazone-éthyl (Carfentrazone-ethyl) 500.0 g/kg;Herbicide;Granulé dispersable;RETIRE;23/12/2015;02/04/1998;;;
PPP;9600299;ACTIGAZON 1;;SBM DEVELOPPEMENT;Produit de référence;;Emploi autorisé dans les jardins;;;2,4-D sel de diméthylamine (2,4-D) 0.24 % | sulfate de fer (Iron sulphate) 8.4 % | mécoprop sel d'amine (Mecoprop) 0.48 %;Herbicide;Granulé;RETIRE;09/11/2015;01/12/1996;;;
PPP;2080020;ESSYNA;;BAYER SAS;Produit de référence;Professionnel;;;;flufénacet (Flufenacet) 600.0 g/kg;Herbicide;Granulé dispersable;AUTORISE;;28/02/2008;;;
PPP;9800282;CARAMBA 90;;BASF FRANCE SAS;Produit de référence;Professionnel;;;;metconazole (Metconazole) 90.0 g/L;Fongicide;Suspension concentrée;RETIRE;17/09/2012;04/02/2000;;;
PPP;2161098;GLOPYRALID SL;;GLOBACHEM NV;Générique;Professionnel;;;;clopyralid (Clopyralid) 100.0 g/L;Herbicide;Concentré soluble;AUTORISE;;12/04/2017;7900753;LONTREL 100;
PPP;2190219;NEALTA;;BASF FRANCE SAS;Produit de référence;Professionnel;;;;cyflumétofen (Cyflumetofen) 200.0 g/L;Acaricide;Suspension concentrée;AUTORISE;;05/07/2019;;;
PPP;2110146;GENOXONE;;ARYSTA LIFESCIENCE BENELUX SPRL;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Emploi autorisé dans les jardins;;;2,4-D ester ethylique (2,4-D) 93.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;31/12/2016;;2060131;GENOXONE ZX E;
PPP;2090113;DAKOTA-P;BELOGA-P | WING-P;BASF FRANCE SAS;Produit de référence;Professionnel;;;;diméthénamide-P (Dimethenamid-P) 212.5 g/L | pendiméthaline (Pendimethalin) 250.0 g/L;Herbicide;Concentré émulsionnable;AUTORISE;;01/08/2009;;;
PPP;2080061;MICENE PRO;;ISAGRO SPA;Produit de référence;Professionnel;;;;bénalaxyl-M (Benalaxyl-M) 40.0 g/kg | mancozèbe (Mancozeb) 650.0 g/kg;Fongicide;Poudre mouillable;RETIRE;17/09/2018;30/07/2008;;;
PPP;9900121;SAKINE FLO;;ADAMA FRANCE SAS;Produit de référence;Professionnel;;;;prochloraze (Prochloraz) 450.0 g/L;Fongicide;Suspension concentrée;RETIRE;30/10/2015;09/06/2000;;;
PPP;9800526;SUPER CAID APPATS BLEU;;LIPHATECH SAS;Produit de référence;Professionnel;;;;bromadiolone (Bromadiolone) 0.05 g/kg;Rodenticide;Appât sur grains;RETIRE;21/02/2020;;;;
PPP;2180092;NAVIO;;CHEMINOVA A/S;Produit de référence;Professionnel;;;;diméthomorphe (Dimethomorph) 500.0 g/kg;Fongicide;Granulé dispersable;AUTORISE;;16/05/2018;;;
PPP;9500135;LIMAGRI GR;LIMAGRI CHAMPS | LIMAGRI DOSE | SLOGGY CHAMPS | SLOGGY DOSE | LIMATAK PRO;SBM DEVELOPPEMENT;Produit de référence;Professionnel;;;;metaldéhyde (Metaldehyde) 50.0 g/kg;Molluscicide;Granulé;RETIRE;20/06/2018;01/04/1995;;;
PPP;2080109;TSAR;TRANKILO;DOW AGROSCIENCES SAS;Produit de référence;Professionnel;;;;myclobutanil (Myclobutanil) 45.0 g/L | quinoxyfène (Quinoxyfen) 45.0 g/L;Fongicide;Suspension concentrée;RETIRE;16/03/2017;11/02/2009;;;
PPP;8100345;TACHIGAREN;;MITSUI CHEMICALS AGRO Inc;Produit de référence;Professionnel;;;;hymexazol (Hymexazol) 700.0 g/kg;Fongicide;Poudre mouillable traitement humide  semences;AUTORISE;;01/12/1983;;;
PPP;2080099;PERGADO MZ PEPITE;;SYNGENTA FRANCE SAS;Produit de référence;Professionnel;;;;mandipropamid (Mandipropamid) 50.0 g/kg | mancozèbe (Mancozeb) 600.0 g/kg;Fongicide;Granulé dispersable;RETIRE;23/08/2017;11/12/2008;;;
PPP;6800403;BASAMID GRANULE;;KANESHO SOIL TREATMENTSPRL;Produit de référence;Professionnel;;;;dazomet (Dazomet) 965.0 g/kg;Fongicide;Microgranulé;RETIRE;21/04/2021;01/12/1968;;;
PPP;2010143;WINCH EV;WINCH PJT;DOW AGROSCIENCES SAS;Produit de référence;Professionnel;;;;isoxabène (Isoxaben) 107.0 g/L | oryzalin (Oryzalin) 429.0 g/L;Herbicide;Suspension concentrée;RETIRE;02/05/2018;06/04/2001;;;
PPP;2130105;AXCELA;XIREN;LONZA COLOGNE GMBH;Produit de référence;Professionnel;;;;metaldéhyde (Metaldehyde) 30.0 g/kg;Molluscicide;Appât granulé;RETIRE;19/12/2018;01/06/2013;;;
PPP;9500234;ANTENE;ALCEDO | MOLINA;ISAGRO SPA;Produit de revente;Professionnel;;;;tetraconazole (Tetraconazole) 100.0 g/L;Fongicide;Concentré émulsionnable;AUTORISE;;01/06/1995;9400012 | 9400012;GREMAN | GREMAN;
PPP;2170139;PIRIGRAIN AEROSOL;;SOJAM;Produit de référence;Professionnel;;;;pyrimiphos-méthyl (Pirimiphos-methyl) 50.0 g/L;Insecticide;Générateur d'aérosol;AUTORISE;;27/02/2017;;;
PPP;8900137;FORAY 48 B;;SUMITOMO CHEMICAL AGRO EUROPE SAS;Produit de référence;Professionnel;Mention abeille | Utilisable en agriculture biologique | Liste biocontrôle;;;Bacillus thuringiensis subsp. kurstaki souche ABTS 351 (Bacillus thuringiensis subsp. kurstaki strain ABTS 351) 10000.0 UI/mg;Insecticide;Suspension concentrée;AUTORISE;;01/12/1989;;;
PPP;8900338;LONDAX;;UPL EUROPE LTD;Produit de référence;Professionnel;;;;bensulfuron-méthyl (Bensulfuron) 600.0 g/kg;Herbicide;Granulé dispersable;AUTORISE;;;;;
PPP;2050136;PROFUME;;DOUGLAS BLG BVBA;Produit de référence;Professionnel;;;;fluorure de sulfuryl (Sulfuryl fluoride) 99.8 %;Insecticide;Gaz comprimé;AUTORISE;;07/10/2005;;;
PPP;9000471;BASTA F1;;BAYER SAS;Produit de référence;Professionnel;;;;glufosinate ammonium (Glufosinate) 150.0 g/L;Herbicide;Concentré soluble;RETIRE;24/10/2017;01/10/1990;;;
PPP;2050143;PELOUS'NET 2C;;Evergreen Garden Care France SAS;Produit de référence;Amateur / emploi autorisé dans les jardins;;Restriction jardins amateurs;A compter du 01/01/2019, la mise sur le marché, la délivrance, l'utilisation et la détention de ce produit sont réservées aux utilisateurs professionnels, conformément à l'article L. 253-7-III du Code rural et de la pêche maritime;clopyralid sel de monoéthanolamine (Clopyralid) 5.34 g/L | fluroxypyr-méptyl (Fluroxypyr) 10.68 g/L | MCPA sel de potassium (MCPA) 53.4 g/L;Herbicide;Micro-émulsion;RETIRE;20/12/2018;07/10/2005;;;
PPP;9000691;BADINEB;;LODI;Produit de référence;Professionnel;;;;pyréthrines (Pyrethrins) 20.0 g/L | pipéronyl butoxide (Piperonyl butoxide) 160.0 g/L;Insecticide;Liquide pour application à ultrabas volume;RETIRE;20/05/2019;01/10/1990;;;
PPP;9900092;MIMIC LV;;NISSO CHEMICAL EUROPE GMBH;Produit de référence;Professionnel;;;;tébufenozide (Tebufenozide) 240.0 g/L;Insecticide;Liquide pour application à ultrabas volume;RETIRE;05/11/2021;;;;
PPP;2010100;INSECTES ET MALADIES CPJ;;COMPAGNIE DES PRODUITS POUR LE JARDIN;Produit de référence;Amateur / emploi autorisé dans les jardins;Liste biocontrôle | Production biologique amateur | Emploi autorisé dans les jardins;;;soufre (Sulphur) 5.92 g/L | acides gras C7 à C18 et C18 insaturé (sels de potassium) (Fatty acids) 9.75 g/L;Insecticide | Fongicide;Autre liquide;AUTORISE;;06/06/2003;;;
PPP;9200392;GREENOR;;DOW AGROSCIENCES SAS;Deuxième gamme;Professionnel;;;;clopyralid sel de monoéthanolamine (Clopyralid) 26.4 g/L | fluroxypyr ester 1-méthylheptyl (Fluroxypyr) 57.6 g/L | MCPA sel de potassium (MCPA) 238.2 g/L;Herbicide;Emulsion de type aqueux;RETIRE;30/10/2017;01/10/1992;;;
PPP;2050078;DIABOLO;;CERTIS EUROPE BV;Produit de référence;Professionnel;;;;imazalil (Imazalil) 100.0 g/L;Fongicide;Concentré soluble;AUTORISE;;14/06/2005;;;
PPP;2100221;ENERVIN;PRIVEST;BASF FRANCE SAS;Produit de référence;Professionnel;;;;amétoctradine (Ametoctradin) 120.0 g/kg | métirame (Metiram) 440.0 g/kg;Fongicide;Granulé dispersable;AUTORISE;;28/12/2010;;;
PPP;2180311;BILOXA;;ARYSTA LIFESCIENCE;Produit de référence;Professionnel;;;;cléthodime (Clethodim) 140.0 g/L | quizalofop-P-éthyl (Quizalofop-P-ethyl) 70.0 g/L;Herbicide;Concentré émulsionnable;AUTORISE;;13/06/2018;;;
PPP;9700123;GULLIVER;;CHEMINOVA Agro France SAS;Produit de référence;Professionnel;;;;azimsulfuron (Azimsulfuron) 500.0 g/kg;Herbicide;Granulé dispersable;AUTORISE;;02/04/1998;;;
PPP;2160696;SHOSHI;;LAINCO S.A;Produit de référence;Professionnel;;;;hexythiazox (Hexythiazox) 100.0 g/kg;Acaricide;Poudre mouillable;AUTORISE;;24/10/2016;;;
PPP;2170439;ACAROIL;;INDUSTRIAS AFRASA S.A.;Produit de référence;Professionnel;;;;hexythiazox (Hexythiazox) 100.0 g/kg;Acaricide;Poudre mouillable;AUTORISE;;30/05/2017;;;
PPP;2170440;JALISCO;;PROPLAN Plant Protection Company, S.L.;Produit de référence;Professionnel;;;;hexythiazox (Hexythiazox) 100.0 g/kg;Acaricide;Poudre mouillable;AUTORISE;;30/05/2017;;;
PPP;2020474;RAPSAN 500 SC;PARSAN 500 SC | NASPAR;Q-CHEM NV;Produit de référence;Professionnel;;;;métazachlore (Metazachlor) 500.0 g/L;Herbicide;Suspension concentrée;AUTORISE;;;;;
PPP;2120058;ROYALTAC;;ARYSTA LIFESCIENCE GREAT BRITAIN LTD;Produit de référence;Professionnel;;;;1-décanol (1-Decanol) 679.0 g/L;Régulateur de croissance;Concentré émulsionnable;RETIRE;18/06/2021;15/03/2012;;;
PPP;2120076;CLERAVIS;;BASF FRANCE SAS;Produit de référence;Professionnel;;;;imazamox (Imazamox) 17.5 g/L | métazachlore (Metazachlor) 375.0 g/L | quinmérac (Quinmerac) 100.0 g/L;Herbicide;Suspension concentrée;AUTORISE;;;;;
PPP;9500364;FONGYS;;Evergreen Garden Care France SAS;Deuxième gamme;;Emploi autorisé dans les jardins;;;myclobutanil (Myclobutanil) 7.5 g/L;Fongicide;Emulsion de type aqueux;RETIRE;29/06/2015;01/10/1995;9300302;FERTINEX;
PPP;9600538;BAGHERA;EPERVIER;BAYER SAS;Produit de référence;;;;;diclofop (Diclofop) 250.0 g/L | fénoxaprop-P-éthyle (Fenoxaprop-P) 20.0 g/L;Herbicide;Emulsion de type aqueux;RETIRE;29/06/2015;01/10/1998;;;
PPP;9800413;ZEUS;;BAYER SAS;Deuxième gamme;;;;;diclofop (Diclofop) 250.0 g/L | fénoxaprop-P-éthyle (Fenoxaprop-P) 20.0 g/L;Herbicide;Emulsion de type aqueux;RETIRE;29/06/2015;01/10/1998;9600538;BAGHERA;
PPP;2000365;POLYSOINS;;Evergreen Garden Care France SAS;Deuxième gamme;;;;;myclobutanil (Myclobutanil) 7.5 g/L;Fongicide;Emulsion de type aqueux;RETIRE;29/06/2015;06/10/2000;9500364;FONGYS;
PPP;2010142;HELARION JARDIN;;COMPO FRANCE SAS;Produit de revente;;Emploi autorisé dans les jardins;;;metaldéhyde (Metaldehyde) 5.0 %;Molluscicide;Appât prêt à l'emploi;RETIRE;30/06/2015;08/02/2002;9500122;HELARION RB;
PPP;2010328;CADDY ARBO;;BAYER SAS;Deuxième gamme;;;;;cyproconazole (Cyproconazole) 10.0 %;Fongicide;Granulé dispersable;RETIRE;29/06/2015;08/06/2001;9300381;BIALLOR 10 PEPITE;
PPP;9700167;SYSTHANE PRET A L'EMPLOI;;DOW AGROSCIENCES SAS;Produit de revente;;Emploi autorisé dans les jardins;;;myclobutanil (Myclobutanil) 0.075 g/L;Fongicide;Liquide;RETIRE;29/06/2015;01/06/1997;9300301;FONGYS PRET A L'EMPLOI;
PPP;2000366;POLYSOINS PRET A L'EMPLOI;;Evergreen Garden Care France SAS;Deuxième gamme;;Emploi autorisé dans les jardins;;;myclobutanil (Myclobutanil) 0.075 g/L;Fongicide;Autre liquide;RETIRE;29/06/2015;06/10/2000;9300301;FONGYS PRET A L'EMPLOI;
PPP;9500229;BHJ ANTI LIMACES R PLUS;;COMPO FRANCE SAS;Produit de revente;;Emploi autorisé dans les jardins;;;metaldéhyde (Metaldehyde) 5.0 %;Molluscicide;Appât sur grains;RETIRE;30/06/2015;01/06/1995;9500122;HELARION RB;
PPP;2010518;JARDIZEN;;DE SANGOSSE;Produit de référence;;Emploi autorisé dans les jardins;;;metaldéhyde (Metaldehyde) 5.0 %;Molluscicide;Granulé;RETIRE;30/06/2015;07/12/2001;;;
PPP;2020010;EXTRALUGEC SP;;PHYTEUROP;Produit de revente;;;;;metaldéhyde (Metaldehyde) 5.0 %;Molluscicide;Microgranulé;RETIRE;30/06/2015;08/02/2002;2010273;AFFUT RG;
