"","SA_CodeCAS","SA_Libelle","SA_PNEC","source","mise_a_jour","SA_Statut"
"170","8028-48-6 (orange oil)","huile essentielle d'orange","4,21","AGRITOX",2021-11-09,NA
"171","123-33-1","hydrazide maleique","960","AGRITOX",2021-11-09,NA
"172","298-14-6","hydrog�nocarbonate de potassium","8575","AGRITOX",2021-11-09,NA
"173","148-24-3","hydroxy-8-quinoleine",NA,"AGRITOX",2021-11-09,NA
"174","10004-44-1","hymexazol",NA,"AGRITOX",2021-11-09,NA
"175","35554-44-0","imazalil","14,8","AGRITOX",2021-11-09,NA
"176","114311-32-9","imazamox","4,2","AGRITOX",2021-11-09,NA
"177","81335-37-7","imazaquine","3,1","AGRITOX",2021-11-09,NA
"178","138261-41-3","imidaclopride","0,2","AGRITOX",2021-11-09,NA
"179","138261-41-3","imidaclopride","0,009","AGRITOX",2021-11-09,NA
"180","173584-44-6","indoxacarbe","1,95","AGRITOX",2021-11-09,NA
"181","144550-36-7","iodosulfuron",NA,"AGRITOX",2021-11-09,NA
"182","125225-28-7","ipconazole","0,044","AGRITOX",2021-11-09,NA
"183","140923-17-7","iprovalicarbe","189","AGRITOX",2021-11-09,NA
"184","875915-78-9","isof�tamide","18","AGRITOX",2021-11-09,NA
"185","881685-58-1","isopyrazam","0,258","AGRITOX",2021-11-09,NA
"186","82558-50-7","isoxaben","3,75","AGRITOX",2021-11-09,NA
"187","141112-29-0","isoxaflutole","0,1","AGRITOX",2021-11-09,NA
"188","1332-58-7","kaolin","4940","AGRITOX",2021-11-09,NA
"189","61790-53-2","kieselgur (terre � diatom�es)",NA,"AGRITOX",2021-11-09,NA
"190","143390-89-0","kresoxim methyl","15","AGRITOX",2021-11-09,NA
"191","91465-08-6","lambda cyhalothrine","0,00039","AGRITOX",2021-11-09,NA
"192","91465-08-6","lambda cyhalothrine","0,5","AGRITOX",2021-11-09,NA
"193","9008-22-4","laminarine","713","AGRITOX",2021-11-09,NA
"194","2164-08-1�","lenacile","1,215","AGRITOX",2021-11-09,NA
"195","8018-01-7 (formerly 8065-67-5)","mancozebe","0,355","AGRITOX",2021-11-09,NA
"196","173662-97-0","mandestrobine","7,18","AGRITOX",2021-11-09,NA
"197","374726-62-2","mandipropamide","7,6","AGRITOX",2021-11-09,NA
"198","94-74-6","MCPA","12,4","AGRITOX",2021-11-09,NA
"199","94-81-5","MCPB",NA,"AGRITOX",2021-11-09,NA
"200","16484-77-8","mecoprop-P","160","AGRITOX",2021-11-09,NA
"201","135590-91-9","mefenpyr diethyl","10","AGRITOX",2021-11-09,NA
"202","1417782-03-6","m�fentrifluconazole","2,87","AGRITOX",2021-11-09,NA
"203","a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5","M�lange de terp�no�des QRD 460",NA,"AGRITOX",2021-11-09,NA
"204","110235-47-7","mepanipyrim",NA,"AGRITOX",2021-11-09,NA
"205","24307-26-4","mepiquat-chlorure","685","AGRITOX",2021-11-09,NA
"206","6119-92-2","meptyldinocap","0,038","AGRITOX",2021-11-09,NA
"207","6119-92-2","meptyldinocap","0,286","AGRITOX",2021-11-09,NA
"208","208465-21-8","mesosulfuron methyl","0,129","AGRITOX",2021-11-09,NA
"209","104206-82-8","mesotrione","0,77","AGRITOX",2021-11-09,NA
"210","104206-82-8","mesotrione","3,1","AGRITOX",2021-11-09,NA
"211","70630-17-0","metalaxyl-M","56","AGRITOX",2021-11-09,NA
"212","108-62-3 (tetramer)","metaldehyde","750","AGRITOX",2021-11-09,NA
"213","41394-05-2","metamitrone","373","AGRITOX",2021-11-09,NA
"214","67129-08-2","metazachlore","1,67","AGRITOX",2021-11-09,NA
"215","67129-08-2","metazachlore","3,78","AGRITOX",2021-11-09,NA
"216","125116-23-6 (unstated stereochemistry)","metconazole","0,582","AGRITOX",2021-11-09,NA
"217","161050-58-4","methoxyfenozide","7","AGRITOX",2021-11-09,NA
"218","9006-42-2","metiram-zinc","5,5","AGRITOX",2021-11-09,NA
"219","3060-89-7","metobromuron","31","AGRITOX",2021-11-09,NA
"220","139528-85-1","metosulam","0,079","AGRITOX",2021-11-09,NA
"221","220899-03-6","metrafenone","22,5","AGRITOX",2021-11-09,NA
"222","21087-64-9","metribuzine",NA,"AGRITOX",2021-11-09,NA
"223","74223-64-6","metsulfuron methyle","0,142","AGRITOX",2021-11-09,NA
"224","74223-64-6","metsulfuron methyle","0,114","AGRITOX",2021-11-09,NA
"225","51596-10-2","milbemectine","0,024","AGRITOX",2021-11-09,NA
"226","88671-89-0","myclobutanil","2,4","AGRITOX",2021-11-09,NA
"227","15299-99-7","napropamide","54","AGRITOX",2021-11-09,NA
"228","111991-09-4","nicosulfuron","0,27","AGRITOX",2021-11-09,NA
"229","111991-09-4","nicosulfuron","0,67","AGRITOX",2021-11-09,NA
"230","19044-88-3","oryzalin","2,85","AGRITOX",2021-11-09,NA
"231","23135-22-0","oxamyl","2,68","AGRITOX",2021-11-09,NA
"232","1003318-67-9","oxathiapiprolin","3,3","AGRITOX",2021-11-09,NA
"233","42874-03-3","oxyfluorfene","0,032","AGRITOX",2021-11-09,NA
"234","76738-62-0","paclobutrazol","0,82","AGRITOX",2021-11-09,NA
"235","66246-88-6","penconazole","6","AGRITOX",2021-11-09,NA
"236","66063-05-6","pencycuron","3","AGRITOX",2021-11-09,NA
"237","40487-42-1","pendimethaline","0,48","AGRITOX",2021-11-09,NA
"238","219714-96-2","penoxsulame","0,33","AGRITOX",2021-11-09,NA
"239","183675-82-3","penthiopyrad","2,9","AGRITOX",2021-11-09,NA
"240","106700-29-2","pethoxamid","0,96","AGRITOX",2021-11-09,NA
"241","13684-63-4","phenmediphame","4,1","AGRITOX",2021-11-09,NA
"242","732-11-6","phosmet","0,32","AGRITOX",2021-11-09,NA
"243","10045-86-0","phosphate ferrique","1000","AGRITOX",2021-11-09,NA
"244","20859-73-8","phosphure d'aluminium","0,0965","AGRITOX",2021-11-09,NA
"245","1305-99-3","phosphure de calcium",NA,"AGRITOX",2021-11-09,NA
"246","12057-74-8","phosphure de magnesium","0,093","AGRITOX",2021-11-09,NA
"247","7803-51-2","phosphure d'hydrogene",NA,"AGRITOX",2021-11-09,NA
"248","1918-02-1�","piclorame","55","AGRITOX",2021-11-09,NA
"249","26952-20-5","piclorame : ester isooctylique",NA,"AGRITOX",2021-11-09,NA
"250","2545-60-0","piclorame : sel de potassium",NA,"AGRITOX",2021-11-09,NA
"251","6753-47-5","piclorame sel d'isopropylamine",NA,"AGRITOX",2021-11-09,NA
"252","137641-05-5","picolinafen","0,054","AGRITOX",2021-11-09,NA
"253","137641-05-5","picolinafen","0,024","AGRITOX",2021-11-09,NA
"254","243973-20-8","pinoxaden","8,8","AGRITOX",2021-11-09,NA
"255","51-03-6","piperonyl butoxide",NA,"AGRITOX",2021-11-09,NA
"256","13977-65-6  13492-26-7","potassium phosphonates","10000","AGRITOX",2021-11-09,NA
"257","67747-09-5","prochloraz","2,22","AGRITOX",2021-11-09,NA
"258","67747-09-5","prochloraz","10","AGRITOX",2021-11-09,NA
"259","127277-53-6","prohexadione-calcium","120","AGRITOX",2021-11-09,NA
"260","24579-73-5","propamocarbe","1230","AGRITOX",2021-11-09,NA
"261","111479-05-1","propaquizafop",NA,"AGRITOX",2021-11-09,NA
"262","181274-15-7","propoxycarbazone","0,453","AGRITOX",2021-11-09,NA
"263","23950-58-5","propyzamide","2,1","AGRITOX",2021-11-09,NA
"264","189278-12-4 ","proquinazid","0,18","AGRITOX",2021-11-09,NA
"265","52888-80-9","prosulfocarbe","15","AGRITOX",2021-11-09,NA
"266","52888-80-9","prosulfocarbe","7,5","AGRITOX",2021-11-09,NA
"267","94125-34-5","prosulfuron","0,212","AGRITOX",2021-11-09,NA
"268","178928-70-6","prothioconazole","4,56","AGRITOX",2021-11-09,NA
"269","175013-18-0","pyraclostrobine","0,94","AGRITOX",2021-11-09,NA
"270","129630-19-9","pyraflufen ethyl","0,0172","AGRITOX",2021-11-09,NA
"271","129630-19-9","pyraflufen ethyl","0,026","AGRITOX",2021-11-09,NA
"272","8003-34-7","pyrethrines","0,041","AGRITOX",2021-11-09,NA
"273","96489-71-3","pyridabene","0,68","AGRITOX",2021-11-09,NA
"274","55512-33-9","pyridate","4,9","AGRITOX",2021-11-09,NA
"275","53112-28-0","pyrimethanil","7,7","AGRITOX",2021-11-09,NA
"276","23103-98-2","pyrimicarbe","2","AGRITOX",2021-11-09,NA
"277","29232-93-7","pyrimiphos-methyl",NA,"AGRITOX",2021-11-09,NA
"278","688046-61-9","pyriof�none","8,99","AGRITOX",2021-11-09,NA
"279","95737-68-1","pyriproxyfen","0,0015","AGRITOX",2021-11-09,NA
"280","95737-68-1","pyriproxyfen","0,6","AGRITOX",2021-11-09,NA
"281","422556-08-9","pyroxsulame","0,388","AGRITOX",2021-11-09,NA
"282","90717-03-6","Quinmerac","79","AGRITOX",2021-11-09,NA
"283","90717-03-6","Quinmerac","316","AGRITOX",2021-11-09,NA
"284","2797-51-5","quinoclamine","0,21","AGRITOX",2021-11-09,NA
"285","100646-51-3","quizalofop-P-ethyl","2,1","AGRITOX",2021-11-09,NA
"286","122931-48-0","rimsulfuron","0,46","AGRITOX",2021-11-09,NA
"287","874967-67-6","sedaxane","6,2","AGRITOX",2021-11-09,NA
"288","175217-20-6","silthiofam","47","AGRITOX",2021-11-09,NA
"289","130561-48-7","sintofen","460","AGRITOX",2021-11-09,NA
"290","87392-12-9","s-metolachlore","6,7","AGRITOX",2021-11-09,NA
"291","7704-34-9","soufre",NA,"AGRITOX",2021-11-09,NA
"292","935545-74-7 (Spinetoram)","spinetoram",NA,"AGRITOX",2021-11-09,NA
"293","168316-95-8","spinosad","0,12","AGRITOX",2021-11-09,NA
"294","148477-71-8","spirodiclofen","1,1","AGRITOX",2021-11-09,NA
"295","203313-25-1","spirotetramate","8,5","AGRITOX",2021-11-09,NA
"296","118134-30-8","spiroxamine","0,5","AGRITOX",2021-11-09,NA
"297","99105-77-8","sulcotrione","2,35","AGRITOX",2021-11-09,NA
"298","7782-63-0","sulfate de fer",NA,"AGRITOX",2021-11-09,NA
"299","141776-32-1","Sulfosulfuron",NA,"AGRITOX",2021-11-09,NA
"300","102851-06-9","tau-fluvalinate","0,0064","AGRITOX",2021-11-09,NA
"301","102851-06-9","tau-fluvalinate","0,033","AGRITOX",2021-11-09,NA
"302","107534-96-3","tebuconazole","1,2","AGRITOX",2021-11-09,NA
"303","107534-96-3","tebuconazole","1","AGRITOX",2021-11-09,NA
"304","112410-23-8","tebufenozide","3,35","AGRITOX",2021-11-09,NA
"305","112410-23-8","tebufenozide","0,57","AGRITOX",2021-11-09,NA
"306","119168-77-3","tebufenpyrad",NA,"AGRITOX",2021-11-09,NA
"307","83121-18-0","teflubenzuron",NA,"AGRITOX",2021-11-09,NA
"308","79538-32-2","tefluthrine","0,0004","AGRITOX",2021-11-09,NA
"309","335104-84-2","tembotrione","0,6","AGRITOX",2021-11-09,NA
"310","5915-41-3","terbuthylazine","1,9","AGRITOX",2021-11-09,NA
"311","112281-77-3","tetraconazole","4,2","AGRITOX",2021-11-09,NA
"312","148-79-8","thiabendazole","1,2","AGRITOX",2021-11-09,NA
"313","111988-49-9","thiacloprid","0,107","AGRITOX",2021-11-09,NA
"314","153719-23-4","thiamethoxam","1","AGRITOX",2021-11-09,NA
"315","317815-83-1","thiencarbazone-methyl","0,187","AGRITOX",2021-11-09,NA
"316","79277-27-3","thifensulfuron methyle","0,023","AGRITOX",2021-11-09,NA
"317","23564-05-8","thiophanate-methyl","10,7","AGRITOX",2021-11-09,NA
"318","57018-04-9","Tolclophos methyle","1,2","AGRITOX",2021-11-09,NA
"319","87820-88-0","tralkoxydime",NA,"AGRITOX",2021-11-09,NA
"320","55219-65-3","triadimenol",NA,"AGRITOX",2021-11-09,NA
"321","2303-17-5","tri-allate","0,91","AGRITOX",2021-11-09,NA
"322","2303-17-5","tri-allate","1,3","AGRITOX",2021-11-09,NA
"323","101200-48-0","tribenuron-methyl","0,47","AGRITOX",2021-11-09,NA
"324","055335-06-3","triclopyr","1170","AGRITOX",2021-11-09,NA
"325","64700-56-7","triclopyr butoxy ethyl ester","3,1","AGRITOX",2021-11-09,NA
"326","141517-21-7","trifloxystrobine","0,2","AGRITOX",2021-11-09,NA
"327","141517-21-7","trifloxystrobine","0,276","AGRITOX",2021-11-09,NA
"328","126535-15-7","triflusulfuron-methyle",NA,"AGRITOX",2021-11-09,NA
"329","95266-40-3","trinexapac-ethyl","41","AGRITOX",2021-11-09,NA
"330","131983-72-7","triticonazole","1","AGRITOX",2021-11-09,NA
"331","142469-14-5","tritosulfuron","2,55","AGRITOX",2021-11-09,NA
"332","142469-14-5","tritosulfuron","15,5","AGRITOX",2021-11-09,NA
"333","283159-90-0","valifenalate","28","AGRITOX",2021-11-09,NA
"334","52315-07-8","zeta-cypermethrine","0,01","AGRITOX",2021-11-09,NA
"335","52315-07-8","zeta-cypermethrine","0,008","AGRITOX",2021-11-09,NA
"336","52315-07-8","zeta-cypermethrine","0,00385","AGRITOX",2021-11-09,NA
"337","52315-07-8","zeta-cypermethrine","0,008","AGRITOX",2021-11-09,NA
"338","52315-07-8","zeta-cypermethrine","0,00385","AGRITOX",2021-11-09,NA
"339","137-30-4","zirame","1","AGRITOX",2021-11-09,NA
"340","156052-68-5","zoxamide","0,348","AGRITOX",2021-11-09,NA
"341","112-30-1","1-decanol","0,64","AGRITOX",2021-11-09,NA
"342","3100-04-7�","1-methylcyclopropene","7,76","AGRITOX",2021-11-09,NA
"343","86-86-2","1-naphthylacetamide",NA,"AGRITOX",2021-11-09,NA
"344","571-58-4","1,4-dimethylnaphthalene","5,4","AGRITOX",2021-11-09,NA
"345","94-75-7","2,4-D","34,6","AGRITOX",2021-11-09,NA
"346","94-75-7","2,4-D","89","AGRITOX",2021-11-09,NA
"347","1928-43-4","2,4-D ethylhexyl ester","23","AGRITOX",2021-11-09,NA
"348","94-82-6","2,4-DB",NA,"AGRITOX",2021-11-09,NA
"349","1214-39-7","6-benzyladenine","132","AGRITOX",2021-11-09,NA
"350","37338-40-2","8-dodecenylacetate",NA,"AGRITOX",2021-11-09,NA
"351","1689-99-2 (bromoxynil octanoate) | 1689-84-5 | 56634-95-8 (bromoxynil heptanoate)","Bromoxynil",NA,"EPHY",NA,"NON_INSCRITE"
