numero AMM;nom produit;Libellé court;Libellé long;
2170782;DIPHAR;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2170782;DIPHAR;AA;Pas de mention d'avertissement;
8800603;COLZAMID;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
8800603;COLZAMID;AA;Pas de mention d'avertissement;
2070133;DEVRINOL F;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2070133;DEVRINOL F;AA;Pas de mention d'avertissement;
9000834;REBELL T;C1;Sensibilisants cutanés - Catégorie 1;
9000834;REBELL T;AT;Mention d'avertissement : Attention;
2170337;BELPROMEC GOLD;C4;Toxicité aiguë par voie orale - Catégorie 4;
2170337;BELPROMEC GOLD;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2170337;BELPROMEC GOLD;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2170337;BELPROMEC GOLD;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2170337;BELPROMEC GOLD;AT;Mention d'avertissement : Attention;
9900133;MILORD;C4;Toxicité aiguë par voie orale - Catégorie 4;
9900133;MILORD;C4;Toxicité aiguë par voie cutanée - Catégorie 4;
9900133;MILORD;C4;Toxicité aiguë par inhalation - Catégorie 4;
9900133;MILORD;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
9900133;MILORD;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
9900133;MILORD;C2;Toxiques pour la reproduction - Catégorie 2;
9900133;MILORD;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
9900133;MILORD;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
9900133;MILORD;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9900133;MILORD;DA;Mention d'avertissement : Danger;
8100291;BUTISAN S;C4;Toxicité aiguë par voie orale - Catégorie 4;
8100291;BUTISAN S;C2;Cancérogénicité - Catégorie 2;
8100291;BUTISAN S;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
8100291;BUTISAN S;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
8100291;BUTISAN S;AT;Mention d'avertissement : Attention;
2000003;SULTAN;C4;Toxicité aiguë par voie orale - Catégorie 4;
2000003;SULTAN;C1;Sensibilisants cutanés - Catégorie 1;
2000003;SULTAN;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
2000003;SULTAN;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2000003;SULTAN;C2;Cancérogénicité - Catégorie 2;
2000003;SULTAN;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2000003;SULTAN;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2000003;SULTAN;DA;Mention d'avertissement : Danger;
9500645;SICO;C1;Danger par aspiration - Catégorie 1;
9500645;SICO;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
9500645;SICO;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
9500645;SICO;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
9500645;SICO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
9500645;SICO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9500645;SICO;DA;Mention d'avertissement : Danger;
2180347;APPLAUD STAR;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2180347;APPLAUD STAR;AT;Mention d'avertissement : Attention;
9500484;DESHERBANT GAZON 50;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
8700542;SYGAN S;C4;Toxicité aiguë par inhalation - Catégorie 4;
8700542;SYGAN S;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
8700542;SYGAN S;C1;Sensibilisants cutanés - Catégorie 1;
8700542;SYGAN S;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
8700542;SYGAN S;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
8700542;SYGAN S;C2;Cancérogénicité - Catégorie 2;
8700542;SYGAN S;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
8700542;SYGAN S;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
8700542;SYGAN S;DA;Mention d'avertissement : Danger;
2090024;DIODE;C2;Toxiques pour la reproduction - Catégorie 2;
2090024;DIODE;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2090024;DIODE;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2090024;DIODE;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090024;DIODE;AT;Mention d'avertissement : Attention;
7000022;CEPEDIC MP;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
7000022;CEPEDIC MP;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
7000022;CEPEDIC MP;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
7000022;CEPEDIC MP;Tox. AiguCat 4;Historique - Toxicité aiguë, Catégorie 4;
2080020;ESSYNA;C4;Toxicité aiguë par voie orale - Catégorie 4;
2080020;ESSYNA;C1;Sensibilisants cutanés - Catégorie 1;
2080020;ESSYNA;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
2080020;ESSYNA;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2080020;ESSYNA;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2080020;ESSYNA;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2080020;ESSYNA;DA;Mention d'avertissement : Danger;
2161098;GLOPYRALID SL;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2161098;GLOPYRALID SL;AT;Mention d'avertissement : Attention;
2190219;NEALTA;C2;Cancérogénicité - Catégorie 2;
2190219;NEALTA;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2190219;NEALTA;AT;Mention d'avertissement : Attention;
2090113;DAKOTA-P;C1;Danger par aspiration - Catégorie 1;
2090113;DAKOTA-P;C4;Toxicité aiguë par voie orale - Catégorie 4;
2090113;DAKOTA-P;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2090113;DAKOTA-P;C1;Sensibilisants cutanés - Catégorie 1;
2090113;DAKOTA-P;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
2090113;DAKOTA-P;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2090113;DAKOTA-P;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2090113;DAKOTA-P;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090113;DAKOTA-P;DA;Mention d'avertissement : Danger;
2080061;MICENE PRO;C1;Sensibilisants cutanés - Catégorie 1;
2080061;MICENE PRO;C2;Toxiques pour la reproduction - Catégorie 2;
2080061;MICENE PRO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2080061;MICENE PRO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2080061;MICENE PRO;AT;Mention d'avertissement : Attention;
2080061;MICENE PRO;AT;Mention d'avertissement : Attention;
9800526;SUPER CAID APPATS BLEU;C1;Toxicité aiguë par inhalation - Catégorie 1;
9800526;SUPER CAID APPATS BLEU;C1;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 1;
9800526;SUPER CAID APPATS BLEU;C1A;Toxiques pour la reproduction - Catégories 1A;
9800526;SUPER CAID APPATS BLEU;DA;Mention d'avertissement : Danger;
2180092;NAVIO;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2180092;NAVIO;AA;Pas de mention d'avertissement;
2080109;TSAR;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2080109;TSAR;C1;Sensibilisants cutanés - Catégorie 1;
2080109;TSAR;C2;Toxiques pour la reproduction - Catégorie 2;
2080109;TSAR;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2080109;TSAR;AT;Mention d'avertissement : Attention;
8100345;TACHIGAREN;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
8100345;TACHIGAREN;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
8100345;TACHIGAREN;C2;Matières solides inflammables - Catégorie 2;
8100345;TACHIGAREN;DA;Mention d'avertissement : Danger;
2080099;PERGADO MZ PEPITE;C1;Sensibilisants cutanés - Catégorie 1;
2080099;PERGADO MZ PEPITE;C2;Toxiques pour la reproduction - Catégorie 2;
2080099;PERGADO MZ PEPITE;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2080099;PERGADO MZ PEPITE;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2080099;PERGADO MZ PEPITE;AT;Mention d'avertissement : Attention;
6800403;BASAMID GRANULE;C4;Toxicité aiguë par voie orale - Catégorie 4;
6800403;BASAMID GRANULE;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
6800403;BASAMID GRANULE;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
6800403;BASAMID GRANULE;C1;Sensibilisants cutanés - Catégorie 1;
6800403;BASAMID GRANULE;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
6800403;BASAMID GRANULE;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
6800403;BASAMID GRANULE;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : irritation des voies respiratoires;
6800403;BASAMID GRANULE;AT;Mention d'avertissement : Attention;
2010143;WINCH EV;C2;Cancérogénicité - Catégorie 2;
2010143;WINCH EV;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2010143;WINCH EV;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2010143;WINCH EV;AT;Mention d'avertissement : Attention;
9500234;ANTENE;C1;Danger par aspiration - Catégorie 1;
9500234;ANTENE;C4;Toxicité aiguë par voie orale - Catégorie 4;
9500234;ANTENE;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
9500234;ANTENE;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
9500234;ANTENE;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
9500234;ANTENE;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
9500234;ANTENE;DA;Mention d'avertissement : Danger;
2170139;PIRIGRAIN AEROSOL;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2170139;PIRIGRAIN AEROSOL;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2170139;PIRIGRAIN AEROSOL;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2170139;PIRIGRAIN AEROSOL;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2170139;PIRIGRAIN AEROSOL;C2;Aérosols - Catégorie 2;
2170139;PIRIGRAIN AEROSOL;AT;Mention d'avertissement : Attention;
8900338;LONDAX;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
8900338;LONDAX;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
8900338;LONDAX;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
8900338;LONDAX;AT;Mention d'avertissement : Attention;
2050136;PROFUME;C1;Toxicité aiguë par inhalation - Catégorie 1;
2050136;PROFUME;C2;Toxicité aiguë par inhalation - Catégorie 2;
2050136;PROFUME;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2050136;PROFUME;C1;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 1;
2050136;PROFUME;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2050136;PROFUME;GCE;Gaz sous pression - Gaz comprimé;
2050136;PROFUME;GD;Gaz sous pression - Gaz dissous;
2050136;PROFUME;GL;Gaz sous pression - Gaz liquéfié;
2050136;PROFUME;DA;Mention d'avertissement : Danger;
9000471;BASTA F1;C4;Toxicité aiguë par voie orale - Catégorie 4;
9000471;BASTA F1;C3;Toxicité aiguë par voie cutanée - Catégorie 3;
9000471;BASTA F1;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
9000471;BASTA F1;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
9000471;BASTA F1;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
9000471;BASTA F1;DA;Mention d'avertissement : Danger;
2050143;PELOUS'NET 2C;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2050143;PELOUS'NET 2C;C1;Sensibilisants cutanés - Catégorie 1;
2050143;PELOUS'NET 2C;AT;Mention d'avertissement : Attention;
9000691;BADINEB;C1;Danger par aspiration - Catégorie 1;
9000691;BADINEB;C1;Sensibilisants cutanés - Catégorie 1;
9000691;BADINEB;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
9000691;BADINEB;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9000691;BADINEB;DA;Mention d'avertissement : Danger;
9200392;GREENOR;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
9200392;GREENOR;C1;Sensibilisants cutanés - Catégorie 1;
9200392;GREENOR;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
9200392;GREENOR;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
9200392;GREENOR;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
9200392;GREENOR;DA;Mention d'avertissement : Danger;
2050078;DIABOLO;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2050078;DIABOLO;C2;Cancérogénicité - Catégorie 2;
2050078;DIABOLO;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2050078;DIABOLO;DA;Mention d'avertissement : Danger;
2100221;ENERVIN;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2100221;ENERVIN;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2100221;ENERVIN;AT;Mention d'avertissement : Attention;
2180311;BILOXA;C1;Danger par aspiration - Catégorie 1;
2180311;BILOXA;C2;Corrosion cutanée/irritation cutanée - Catégorie 2;
2180311;BILOXA;C1;Sensibilisants cutanés - Catégorie 1;
2180311;BILOXA;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
2180311;BILOXA;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2180311;BILOXA;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2180311;BILOXA;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2180311;BILOXA;DA;Mention d'avertissement : Danger;
9700123;GULLIVER;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
9700123;GULLIVER;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9700123;GULLIVER;AT;Mention d'avertissement : Attention;
2160696;SHOSHI;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2160696;SHOSHI;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2160696;SHOSHI;AT;Mention d'avertissement : Attention;
2170439;ACAROIL;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2170439;ACAROIL;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2170439;ACAROIL;AT;Mention d'avertissement : Attention;
2170440;JALISCO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2170440;JALISCO;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2170440;JALISCO;AT;Mention d'avertissement : Attention;
2020474;RAPSAN 500 SC;C4;Toxicité aiguë par voie orale - Catégorie 4;
2020474;RAPSAN 500 SC;C2;Cancérogénicité - Catégorie 2;
2020474;RAPSAN 500 SC;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2020474;RAPSAN 500 SC;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2020474;RAPSAN 500 SC;AT;Mention d'avertissement : Attention;
2120058;ROYALTAC;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2120058;ROYALTAC;C1;Sensibilisants cutanés - Catégorie 1;
2120058;ROYALTAC;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
2120058;ROYALTAC;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2120058;ROYALTAC;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2120058;ROYALTAC;DA;Mention d'avertissement : Danger;
2120076;CLERAVIS;C1;Sensibilisants cutanés - Catégorie 1;
2120076;CLERAVIS;C2;Cancérogénicité - Catégorie 2;
2120076;CLERAVIS;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2120076;CLERAVIS;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2120076;CLERAVIS;AT;Mention d'avertissement : Attention;
2110143;SENCORAL SC;C1;Sensibilisants cutanés - Catégorie 1;
2110143;SENCORAL SC;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
2110143;SENCORAL SC;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2110143;SENCORAL SC;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2110143;SENCORAL SC;DA;Mention d'avertissement : Danger;
9700354;SENCORAL ULTRADISPERSIBLE;C4;Toxicité aiguë par voie orale - Catégorie 4;
9700354;SENCORAL ULTRADISPERSIBLE;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9700354;SENCORAL ULTRADISPERSIBLE;AT;Mention d'avertissement : Attention;
2180190;CLIPLESS;TCC3;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;
2180190;CLIPLESS;AA;Pas de mention d'avertissement;
7100402;AMINUGEC 600;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
7100402;AMINUGEC 600;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
7100402;AMINUGEC 600;Tox. AiguCat 4;Historique - Toxicité aiguë, Catégorie 4;
7100402;AMINUGEC 600;C3;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 3 : effets narcotique;
2090148;ESTOCADE;C4;Toxicité aiguë par inhalation - Catégorie 4;
2090148;ESTOCADE;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2090148;ESTOCADE;C1;Sensibilisants cutanés - Catégorie 1;
2090148;ESTOCADE;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
2090148;ESTOCADE;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2090148;ESTOCADE;C2;Cancérogénicité - Catégorie 2;
2090148;ESTOCADE;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090148;ESTOCADE;DA;Mention d'avertissement : Danger;
2030154;BOVOIR;C2;Cancérogénicité - Catégorie 2;
2030154;BOVOIR;C2;Toxiques pour la reproduction - Catégorie 2;
2030154;BOVOIR;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2010478;AMALFI;Sc;Sensibilisation cutanée;
2010478;AMALFI;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2010478;AMALFI;C2;Cancérogénicité - Catégorie 2;
2010478;AMALFI;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2010478;AMALFI;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2080088;NEMO;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2080088;NEMO;AT;Mention d'avertissement : Attention;
8300403;GALBEN M;Sc;Sensibilisation cutanée;
8300403;GALBEN M;C2;Toxiques pour la reproduction - Catégorie 2;
8300403;GALBEN M;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
8300403;GALBEN M;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
8500703;TAIREL M;Sc;Sensibilisation cutanée;
8500703;TAIREL M;C2;Toxiques pour la reproduction - Catégorie 2;
8500703;TAIREL M;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
8500703;TAIREL M;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2120171;ALIETTE GREEN;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2120171;ALIETTE GREEN;AT;Mention d'avertissement : Attention;
2100214;PERTUS;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2100214;PERTUS;AA;Pas de mention d'avertissement;
2130079;TAKUMI;TCC2;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;
2130079;TAKUMI;AA;Pas de mention d'avertissement;
2170336;LAOTTA EW;C4;Toxicité aiguë par voie orale - Catégorie 4;
2170336;LAOTTA EW;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2170336;LAOTTA EW;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2170336;LAOTTA EW;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2170336;LAOTTA EW;AT;Mention d'avertissement : Attention;
2090065;VALIS F;C4;Toxicité aiguë par inhalation - Catégorie 4;
2090065;VALIS F;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2090065;VALIS F;C1;Sensibilisants cutanés - Catégorie 1;
2090065;VALIS F;C2;Cancérogénicité - Catégorie 2;
2090065;VALIS F;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2090065;VALIS F;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2090065;VALIS F;AT;Mention d'avertissement : Attention;
2090065;VALIS F;AT;Mention d'avertissement : Attention;
2090065;VALIS F;DA;Mention d'avertissement : Danger;
2150128;CLOSE 360 CS;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2150128;CLOSE 360 CS;AT;Mention d'avertissement : Attention;
2100183;KANEMITE;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
2100183;KANEMITE;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
2100183;KANEMITE;C1;Toxicité spécifique pour certains organes cibles à la suite d'une exposition unique - Catégorie 1;
2100183;KANEMITE;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2100183;KANEMITE;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2100183;KANEMITE;DA;Mention d'avertissement : Danger;
9900384;TRAITAM SOL;C4;Toxicité aiguë par voie orale - Catégorie 4;
9900384;TRAITAM SOL;C4;Toxicité aiguë par inhalation - Catégorie 4;
9900384;TRAITAM SOL;C1;Sensibilisants cutanés - Catégorie 1;
9900384;TRAITAM SOL;C1SCA;Sensibilisants cutanés - Catégorie 1 sous-catégorie A;
9900384;TRAITAM SOL;C1SCB;Sensibilisants cutanés - Catégorie 1 sous-catégorie B;
9900384;TRAITAM SOL;C2;Cancérogénicité - Catégorie 2;
9900384;TRAITAM SOL;C2;Toxiques pour la reproduction - Catégorie 2;
9900384;TRAITAM SOL;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
9900384;TRAITAM SOL;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
9900384;TRAITAM SOL;C1;Substances et mélanges corrosifs pour les métaux - Catégorie 1;
9900384;TRAITAM SOL;C1A;Corrosion cutanée/irritation cutanée - Catégories 1A;
9900384;TRAITAM SOL;C1B;Corrosion cutanée/irritation cutanée - Catégories 1B;
9900384;TRAITAM SOL;C1C;Corrosion cutanée/irritation cutanée - Catégories 1C;
9900384;TRAITAM SOL;DA;Mention d'avertissement : Danger;
2180899;CURAME BORDEAUX;C2;Lésions oculaires graves et irritation oculaire - Catégorie 2;
2180899;CURAME BORDEAUX;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2180899;CURAME BORDEAUX;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2180899;CURAME BORDEAUX;AT;Mention d'avertissement : Attention;
2190272;SUGOBY;C2;Cancérogénicité - Catégorie 2;
2190272;SUGOBY;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2190272;SUGOBY;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2190272;SUGOBY;AT;Mention d'avertissement : Attention;
2190270;QUIMERA;C2;Cancérogénicité - Catégorie 2;
2190270;QUIMERA;TAC1;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;
2190270;QUIMERA;TCC1;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;
2190270;QUIMERA;AT;Mention d'avertissement : Attention;
2190115;KILATE;C4;Toxicité aiguë par inhalation - Catégorie 4;
2190115;KILATE;C1;Lésions oculaires graves et irritation oculaire - Catégorie 1;
2190115;KILATE;DA;Mention d'avertissement : Danger;
2170335;APACHE EW;C4;Toxicité aiguë par voie orale - Catégorie 4;
2170335;APACHE EW;C2;Toxicité spécifique pour certains organes cibles après une exposition répétée - Catégorie 2;
