numero AMM;nom produit;Libellé court phrase de risque ;Libellé long phrase de risque;
8700542;SYGAN S;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2090024;DIODE;H361d;Susceptible de nuire au foetus;
2090024;DIODE;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2090024;DIODE;H400;Très toxique pour les organismes aquatiques;
2090024;DIODE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
7000022;CEPEDIC MP;H302;Nocif en cas d'ingestion;
7000022;CEPEDIC MP;H315;Provoque une irritation cutanée;
7000022;CEPEDIC MP;H318;Provoque des lésions oculaires graves;
7000022;CEPEDIC MP;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2080020;ESSYNA;H302;Nocif en cas d'ingestion;
2080020;ESSYNA;H317;Peut provoquer une allergie cutanée;
2080020;ESSYNA;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2080020;ESSYNA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2161098;GLOPYRALID SL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190219;NEALTA;H351;Susceptible de provoquer le cancer;
2190219;NEALTA;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2190219;NEALTA;EUH208;Contient du cyflumétofen et de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
2090113;DAKOTA-P;H302;Nocif en cas d'ingestion;
2090113;DAKOTA-P;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2090113;DAKOTA-P;H315;Provoque une irritation cutanée;
2090113;DAKOTA-P;H317;Peut provoquer une allergie cutanée;
2090113;DAKOTA-P;H400;Très toxique pour les organismes aquatiques;
2090113;DAKOTA-P;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2080061;MICENE PRO;H317;Peut provoquer une allergie cutanée;
2080061;MICENE PRO;H361d;Susceptible de nuire au foetus;
2080061;MICENE PRO;H400;Très toxique pour les organismes aquatiques;
2080061;MICENE PRO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800526;SUPER CAID APPATS BLEU;H330;Mortel par inhalation;
9800526;SUPER CAID APPATS BLEU;H360D;Peut nuire au foetus;
9800526;SUPER CAID APPATS BLEU;H372;Risque avéré d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2180092;NAVIO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2080109;TSAR;H317;Peut provoquer une allergie cutanée;
2080109;TSAR;H319;Provoque une sévère irritation des yeux;
2080109;TSAR;H361d;Susceptible de nuire au foetus;
2080109;TSAR;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
8100345;TACHIGAREN;H228;Matière solide inflammable;
8100345;TACHIGAREN;H318;Provoque des lésions oculaires graves;
8100345;TACHIGAREN;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2080099;PERGADO MZ PEPITE;H317;Peut provoquer une allergie cutanée;
2080099;PERGADO MZ PEPITE;H361d;Susceptible de nuire au foetus;
2080099;PERGADO MZ PEPITE;H400;Très toxique pour les organismes aquatiques;
2080099;PERGADO MZ PEPITE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
6800403;BASAMID GRANULE;H302;Nocif en cas d'ingestion;
6800403;BASAMID GRANULE;H315;Provoque une irritation cutanée;
6800403;BASAMID GRANULE;H317;Peut provoquer une allergie cutanée;
6800403;BASAMID GRANULE;H319;Provoque une sévère irritation des yeux;
6800403;BASAMID GRANULE;H335;Peut irriter les voies respiratoires;
6800403;BASAMID GRANULE;H400;Très toxique pour les organismes aquatiques;
6800403;BASAMID GRANULE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010143;WINCH EV;H351;Susceptible de provoquer le cancer;
2010143;WINCH EV;H400;Très toxique pour les organismes aquatiques;
2010143;WINCH EV;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500234;ANTENE;H302;Nocif en cas d'ingestion;
9500234;ANTENE;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9500234;ANTENE;H315;Provoque une irritation cutanée;
9500234;ANTENE;H319;Provoque une sévère irritation des yeux;
9500234;ANTENE;H336;Peut provoquer somnolence ou des vertiges;
9500234;ANTENE;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2170139;PIRIGRAIN AEROSOL;H223;Aérosol inflammable;
2170139;PIRIGRAIN AEROSOL;H319;Provoque une sévère irritation des yeux;
2170139;PIRIGRAIN AEROSOL;H336;Peut provoquer somnolence ou des vertiges;
2170139;PIRIGRAIN AEROSOL;H400;Très toxique pour les organismes aquatiques;
2170139;PIRIGRAIN AEROSOL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8900338;LONDAX;H319;Provoque une sévère irritation des yeux;
8900338;LONDAX;H400;Très toxique pour les organismes aquatiques;
8900338;LONDAX;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8900338;LONDAX;EUH208;Contient du bensulfuron-méthyl. Peut produire une réaction allergique;
2050136;PROFUME;H280;Contient un gaz sous pression. peut exploser sous l'effet de la chaleur;
2050136;PROFUME;H330;Mortel par inhalation;
2050136;PROFUME;H370;Risque avéré d'effets graves pour les organes;
2050136;PROFUME;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2050136;PROFUME;H400;Très toxique pour les organismes aquatiques;
9000471;BASTA F1;H302;Nocif en cas d'ingestion;
9000471;BASTA F1;H311;Toxique par contact cutané;
9000471;BASTA F1;H318;Provoque des lésions oculaires graves;
9000471;BASTA F1;H360Fd;Peut nuire à la fertilité. Susceptible de nuire au foetus;
9000471;BASTA F1;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
9000471;BASTA F1;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2050143;PELOUS'NET 2C;H317;Peut provoquer une allergie cutanée;
2050143;PELOUS'NET 2C;H319;Provoque une sévère irritation des yeux;
9000691;BADINEB;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9000691;BADINEB;H317;Peut provoquer une allergie cutanée;
9000691;BADINEB;H335;Peut irriter les voies respiratoires;
9000691;BADINEB;H351;Susceptible de provoquer le cancer;
9000691;BADINEB;H400;Très toxique pour les organismes aquatiques;
9000691;BADINEB;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9200392;GREENOR;H317;Peut provoquer une allergie cutanée;
9200392;GREENOR;H319;Provoque une sévère irritation des yeux;
9200392;GREENOR;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2050078;DIABOLO;H318;Provoque des lésions oculaires graves;
2050078;DIABOLO;H351;Susceptible de provoquer le cancer;
2050078;DIABOLO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2100221;ENERVIN;H400;Très toxique pour les organismes aquatiques;
2100221;ENERVIN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180311;BILOXA;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2180311;BILOXA;H315;Provoque une irritation cutanée;
2180311;BILOXA;H317;Peut provoquer une allergie cutanée;
2180311;BILOXA;H336;Peut provoquer somnolence ou des vertiges;
2180311;BILOXA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180311;BILOXA;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
9700123;GULLIVER;H400;Très toxique pour les organismes aquatiques;
9700123;GULLIVER;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160696;SHOSHI;H400;Très toxique pour les organismes aquatiques;
2160696;SHOSHI;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2170439;ACAROIL;H400;Très toxique pour les organismes aquatiques;
2170439;ACAROIL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2170440;JALISCO;H400;Très toxique pour les organismes aquatiques;
2170440;JALISCO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2020474;RAPSAN 500 SC;H302;Nocif en cas d'ingestion;
2020474;RAPSAN 500 SC;H351;Susceptible de provoquer le cancer;
2020474;RAPSAN 500 SC;H400;Très toxique pour les organismes aquatiques;
2020474;RAPSAN 500 SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2020474;RAPSAN 500 SC;EUH208;Contient du métazachlore et du formaldéhyde. Peut produire une réaction allergique.;
2120058;ROYALTAC;H317;Peut provoquer une allergie cutanée;
2120058;ROYALTAC;H318;Provoque des lésions oculaires graves;
2120058;ROYALTAC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2120058;ROYALTAC;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120076;CLERAVIS;H317;Peut provoquer une allergie cutanée;
2120076;CLERAVIS;H351;Susceptible de provoquer le cancer;
2120076;CLERAVIS;H400;Très toxique pour les organismes aquatiques;
2120076;CLERAVIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110143;SENCORAL SC;H317;Peut provoquer une allergie cutanée;
2110143;SENCORAL SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9700354;SENCORAL ULTRADISPERSIBLE;H302;Nocif en cas d'ingestion;
9700354;SENCORAL ULTRADISPERSIBLE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180190;CLIPLESS;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
7100402;AMINUGEC 600;H302;Nocif en cas d'ingestion;
7100402;AMINUGEC 600;H318;Provoque des lésions oculaires graves;
7100402;AMINUGEC 600;H335;Peut irriter les voies respiratoires;
7100402;AMINUGEC 600;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090148;ESTOCADE;H317;Peut provoquer une allergie cutanée;
2090148;ESTOCADE;H318;Provoque des lésions oculaires graves;
2090148;ESTOCADE;H332;Nocif par inhalation;
2090148;ESTOCADE;H351;Susceptible de provoquer le cancer;
2090148;ESTOCADE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2030154;BOVOIR;H351;Susceptible de provoquer le cancer;
2030154;BOVOIR;H361d;Susceptible de nuire au foetus;
2030154;BOVOIR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2030154;BOVOIR;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010478;AMALFI;H317;Peut provoquer une allergie cutanée;
2010478;AMALFI;H319;Provoque une sévère irritation des yeux;
2010478;AMALFI;H351;Susceptible de provoquer le cancer;
2010478;AMALFI;H400;Très toxique pour les organismes aquatiques;
2010478;AMALFI;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2010478;AMALFI;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2080088;NEMO;H400;Très toxique pour les organismes aquatiques;
2080088;NEMO;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2080088;NEMO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
8300403;GALBEN M;H317;Peut provoquer une allergie cutanée;
8300403;GALBEN M;H361d;Susceptible de nuire au foetus;
8300403;GALBEN M;H400;Très toxique pour les organismes aquatiques;
8300403;GALBEN M;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
8300403;GALBEN M;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
8500703;TAIREL M;H317;Peut provoquer une allergie cutanée;
8500703;TAIREL M;H361d;Susceptible de nuire au foetus;
8500703;TAIREL M;H400;Très toxique pour les organismes aquatiques;
8500703;TAIREL M;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
8500703;TAIREL M;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120171;ALIETTE GREEN;H319;Provoque une sévère irritation des yeux;
2120171;ALIETTE GREEN;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100214;PERTUS;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2100214;PERTUS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2130079;TAKUMI;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2170336;LAOTTA EW;H302;Nocif en cas d'ingestion;
2170336;LAOTTA EW;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2170336;LAOTTA EW;H400;Très toxique pour les organismes aquatiques;
2170336;LAOTTA EW;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090065;VALIS F;H317;Peut provoquer une allergie cutanée;
2090065;VALIS F;H318;Provoque des lésions oculaires graves;
2090065;VALIS F;H332;Nocif par inhalation;
2090065;VALIS F;H351;Susceptible de provoquer le cancer;
2090065;VALIS F;H400;Très toxique pour les organismes aquatiques;
2090065;VALIS F;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150128;CLOSE 360 CS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2100183;KANEMITE;H317;Peut provoquer une allergie cutanée;
2100183;KANEMITE;H370;Risque avéré d'effets graves pour les organes;
2100183;KANEMITE;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2100183;KANEMITE;H400;Très toxique pour les organismes aquatiques;
2100183;KANEMITE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900384;TRAITAM SOL;H290;Peut être corrosif pour les métaux;
9900384;TRAITAM SOL;H302;Nocif en cas d'ingestion;
9900384;TRAITAM SOL;H314;Provoque des brûlures de la peau et des lésions oculaires graves;
9900384;TRAITAM SOL;H317;Peut provoquer une allergie cutanée;
9900384;TRAITAM SOL;H332;Nocif par inhalation;
9900384;TRAITAM SOL;H351;Susceptible de provoquer le cancer;
9900384;TRAITAM SOL;H361;Susceptible de nuire à la fertilité ou au foetus;
9900384;TRAITAM SOL;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
9900384;TRAITAM SOL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180899;CURAME BORDEAUX;H319;Provoque une sévère irritation des yeux;
2180899;CURAME BORDEAUX;H400;Très toxique pour les organismes aquatiques;
2180899;CURAME BORDEAUX;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180899;CURAME BORDEAUX;EUH208;Contient du cymoxanil. Peut produire une réaction allergique;
2190272;SUGOBY;H351;Susceptible de provoquer le cancer;
2190272;SUGOBY;H400;Très toxique pour les organismes aquatiques;
2190272;SUGOBY;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190270;QUIMERA;H351;Susceptible de provoquer le cancer;
2190270;QUIMERA;H400;Très toxique pour les organismes aquatiques;
2190270;QUIMERA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190115;KILATE;H318;Provoque des lésions oculaires graves;
2190115;KILATE;H332;Nocif par inhalation;
2170335;APACHE EW;H302;Nocif en cas d'ingestion;
2170335;APACHE EW;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2170335;APACHE EW;H400;Très toxique pour les organismes aquatiques;
2170335;APACHE EW;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160115;HERBISTOP SPRAY;H319;Provoque une sévère irritation des yeux;
7400649;AMID THIN W;H319;Provoque une sévère irritation des yeux;
9600488;APPAT VERS GRIS C;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190019;FREQUENT;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2190019;FREQUENT;H317;Peut provoquer une allergie cutanée;
2190019;FREQUENT;H361d;Susceptible de nuire au foetus;
2190019;FREQUENT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190019;FREQUENT;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2170042;GLIFOPEC 450 SL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2171306;RLG 385;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130092;OBERON;H317;Peut provoquer une allergie cutanée;
2130092;OBERON;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800364;RAPSOL;H351;Susceptible de provoquer le cancer;
9800364;RAPSOL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140004;SYLVINET SC;H351;Susceptible de provoquer le cancer;
2140004;SYLVINET SC;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9600022;ALPHASIS EV;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9600022;ALPHASIS EV;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9600022;ALPHASIS EV;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120210;OPAL SL;H319;Provoque une sévère irritation des yeux;
2120210;OPAL SL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2120210;OPAL SL;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2150007;ALTIPLANO DAM TEC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150007;ALTIPLANO DAM TEC;EUH208;Contient de la bensizothiazolinone. Peut produire une réaction allergique;
8700444;CIP;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
8700444;CIP;H315;Provoque une irritation cutanée;
8700444;CIP;H317;Peut provoquer une allergie cutanée;
8700444;CIP;H319;Provoque une sévère irritation des yeux;
8700444;CIP;H336;Peut provoquer somnolence ou des vertiges;
8700444;CIP;H351;Susceptible de provoquer le cancer;
8700444;CIP;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
8700444;CIP;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9700343;MARQUIS;H302;Nocif en cas d'ingestion;
9700343;MARQUIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9700343;MARQUIS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2180124;REDIGO M;H400;Très toxique pour les organismes aquatiques;
2180124;REDIGO M;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180124;REDIGO M;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2180124;REDIGO M;EUH208;Contient du métalaxyl, de la 1,2-benzisothiazol-3(2H)-one et un mélange de 5-chloro-2-méthyl-1,2-isothiazol-3(2H)-one et de 2-méthyl-1,2-isothiazol-3(2H)-one. Peut produire une réaction allergique;
2190170;ZEDIX 360 CS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190170;ZEDIX 360 CS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2000101;ANTIGERME BRABANT 300 HN;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2000101;ANTIGERME BRABANT 300 HN;H314;Provoque des brûlures de la peau et des lésions oculaires graves;
2000101;ANTIGERME BRABANT 300 HN;H334;Peut provoquer des symptômes allergiques ou d'asthme ou des difficultés respiratoires par inhalation;
2000101;ANTIGERME BRABANT 300 HN;H351;Susceptible de provoquer le cancer;
2160273;ANTIGERME BRABANT 600 ULTRA;H315;Provoque une irritation cutanée;
2160273;ANTIGERME BRABANT 600 ULTRA;H317;Peut provoquer une allergie cutanée;
2160273;ANTIGERME BRABANT 600 ULTRA;H319;Provoque une sévère irritation des yeux;
2160273;ANTIGERME BRABANT 600 ULTRA;H351;Susceptible de provoquer le cancer;
2160273;ANTIGERME BRABANT 600 ULTRA;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2160273;ANTIGERME BRABANT 600 ULTRA;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
8300214;CHLORISYL CP;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
8300214;CHLORISYL CP;H315;Provoque une irritation cutanée;
8300214;CHLORISYL CP;H317;Peut provoquer une allergie cutanée;
8300214;CHLORISYL CP;H319;Provoque une sévère irritation des yeux;
8300214;CHLORISYL CP;H336;Peut provoquer somnolence ou des vertiges;
8300214;CHLORISYL CP;H351;Susceptible de provoquer le cancer;
8300214;CHLORISYL CP;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
8300214;CHLORISYL CP;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2000219;FOGSTRAL S;H317;Peut provoquer une allergie cutanée;
2000219;FOGSTRAL S;H319;Provoque une sévère irritation des yeux;
2000219;FOGSTRAL S;H335;Peut irriter les voies respiratoires;
2000219;FOGSTRAL S;H336;Peut provoquer somnolence ou des vertiges;
2000219;FOGSTRAL S;H351;Susceptible de provoquer le cancer;
2000219;FOGSTRAL S;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2000219;FOGSTRAL S;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2090179;GRO-STOP FOG;H315;Provoque une irritation cutanée;
2090179;GRO-STOP FOG;H319;Provoque une sévère irritation des yeux;
2090179;GRO-STOP FOG;H351;Susceptible de provoquer le cancer;
2090179;GRO-STOP FOG;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2090179;GRO-STOP FOG;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140092;GRO-STOP MAX;H317;Peut provoquer une allergie cutanée;
